Article Number,Article,Title,Description
89,"89. The Chairman and Deputy Chairman of the council of States
 (1) The Vice President of India shall be ex officio Chairman of the Council of States
 (2) The council of States shall, as soon as may be, choose a member of the council to be Deputy an thereof and, so often as the office of Deputy Chairman becomes vacant, the council shall choose another member to be Deputy chairman thereof",Article 89 - Chairman and Deputy Chairman of the Rajya Sabha (Council of States),"Chairman:
The Vice President of India is the ex-officio Chairman of the Rajya Sabha.
Deputy Chairman:
The Rajya Sabha elects one of its members as the Deputy Chairman.
If the Deputy Chairman’s post becomes vacant, a new one is elected.
"
90,"90. Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States
 (a) shall vacate his office if he cease to be a member of the Council;
 (b) may at any time, by writing under his hand addressed to the Chairman, resign his office; and
 (c) may be removed from his office by a resolution of the Council passed by a majority of all the then members of the Council: Provided that no resolution for the purpose of clause (c) shall be moved unless at least fourteen days notice has been given of the intention to move the resolution",Article 90 - Removal of the Deputy Chairman of Rajya Sabha,"The Deputy Chairman must leave office if:

No Longer a Member: They stop being a Rajya Sabha member.
Resignation: They resign by writing to the Chairman.
Removal: They are removed by a majority vote in the Rajya Sabha.
Notice for Removal:

At least 14 days’ notice is needed to move a resolution for removal."
91,"91. Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman
 (1) While the office of Chairman is vacant, or during any period when the vice President is acting as, or discharging the functions of, President, the duties of the office shall be performed by the Deputy chairman, or, if the office of Deputy chairman is also vacant, by such member of the council of States as the President may appoint for the purpose
 (2) During the absence of the chairman from any sitting of the council of States the Deputy chairman, or, if he is also absent, such person as may be determined by the rules of procedure of the council, or, if no such person is present, such other person as may be determined by the council, shall act as Chairman",Article 91 - Acting as Chairman in Special Circumstances,"Vacancy or Absence of Chairman:

If the Vice President (Chairman) is unavailable or the position is vacant, the Deputy Chairman acts as Chairman.
If both positions are vacant, the President appoints a member to act as Chairman temporarily.
Rules for Absence in Sittings:

If both the Chairman and Deputy Chairman are absent, another person selected by the Rajya Sabha rules or its members will preside."
92,"92. The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration
 (1) At any sitting of the Council of States, while any resolution for the removal of the Vice President from his office is under consideration, the Chairman, or while any resolution for the removal of the Deputy Chairman from his office is under consideration, the Deputy Chairman, shall not, though he is present, preside, and the provisions of clause ( 2 ) of Article 91 shall apply in relation to every such sitting as they apply in relation to a sitting from which the chairman, or, as the case may be, the Deputy Chairman, is absent
 (2) The Chairman shall have the right to speak in, and otherwise to take part in proceedings of, the Council of States while any resolution for the removal of the Vice President from his office is under consideration in the Council, but, notwithstanding anything in Article 100, shall not be entitled to vote at all on such resolution or on any other matter during such proceedings",Article 92 - Restrictions During Removal Proceedings,"Chairman and Deputy Chairman Cannot Preside:

During discussions about their removal, they cannot preside over the sitting.
The rules from Article 91(2) apply for selecting someone else to preside.
Participation Without Voting:

The Chairman or Deputy Chairman can participate in discussions about their removal but cannot vote on the resolution or any other matter during such proceedings.
"
93,"93. The Speaker and Deputy Speaker of the House of the People The House of the People shall, as soon as may be, choose two members of the House to be respectively Speaker and Deputy Speaker thereof and, so often as the office of Speaker or Deputy Speaker becomes vacant, the House shall choose another member to be Speaker or Deputy Speaker, as the case may be",Article 93 - Speaker and Deputy Speaker of the Lok Sabha (House of the People),"Election of Speaker and Deputy Speaker:

The Lok Sabha elects two members to act as:
Speaker: Presides over the House.
Deputy Speaker: Acts as Speaker in their absence.
Filling Vacancies:

If the Speaker or Deputy Speaker’s office becomes vacant, the House elects a new member for the position."
94,"94. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of the House of the People
 (a) shall vacate his office if he ceases to be a member of the House of the People;
 (b) may at any time, by writing under his hand addressed, if such member is the Speaker, to the Deputy Speaker, and if such member is the Deputy Speaker, to the Speaker, resign his office; and
 (c) may be removed from his office by a resolution of the House of the People passed by a majority of all the then members of the House: Provided that no resolution for the purpose of clause (c) shall be moved unless at least fourteen days notice has been given of the intention to move the resolution: Provided further that, whenever the House of the People is dissolved, the Speaker shall not vacate his office until immediately before the first meeting of the House of the People after the dissolution","Article 94: Vacation, Resignation, and Removal of Speaker and Deputy Speaker","This article talks about what happens when the Speaker (the person who leads the House of the People, or Lok Sabha) or the Deputy Speaker (the person who helps the Speaker) needs to leave their job.

They leave if they stop being a member of the House.
They can also quit whenever they want by writing a letter.
They can be removed from the position by a vote from the members of the House, but the members need to give 14 days' notice before starting the vote."
95,"95. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker
 (1) While the office of Speaker is vacant, the duties of the office shall be performed by the Deputy Speaker or, if the office of Deputy Speaker is also vacant, by such member of the House of the People as the President may appoint for the purpose
 (2) During the absence of the Speaker from any sitting of the House of the People the Deputy Speaker or, if he is also absent, such person as may be determined by the rules of procedure of the House, or, if no such person is present, such other person as may be determined by the House, shall act as Speaker",Article 95: Power of Deputy Speaker to Act as Speaker,"This article explains what happens if the Speaker is not available.

If the Speaker isn't there, the Deputy Speaker takes over.
If both the Speaker and Deputy Speaker are not available, the President can choose someone to act as the Speaker until one of them returns."
96,"96. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration
 (1) At any sitting of the House of the People, while any resolution for the removal of the Speaker from his office is under consideration, the Speaker, or while any resolution for the removal of the Deputy Speaker from his office is under consideration, the Deputy Speaker, shall not, though he is present, preside, and the provisions of clause ( 2 ) of Article 95 shall apply in relation to every such sitting as they apply in relation to a sitting from which the Speaker, or, as the case may be, the Deputy Speaker, is absent
 (2) The Speaker shall have the right to speak in, and otherwise to take part in the proceedings of, the House of the People while any resolution for his removal from office is under consideration in the House and shall, notwithstanding anything in Article 100, be entitled to vote only in the first instance on such resolution or on any other matter during such proceedings but not in the case of an equality of votes",Article 96: Speaker and Deputy Speaker Not to Preside Over Their Removal,"
If the House is discussing whether to remove the Speaker or Deputy Speaker, they cannot lead or ""preside"" over the meeting.
The Speaker can still speak and take part in the discussion, but only vote if there is a tie."
97,"97. Salaries and allowances of the Chairman and Deputy Chairman and the Speaker and Deputy Speaker There shall be paid to the Chairman and the Deputy Chairman of the council of States, and to the Speaker and the Deputy Speaker of the House of the People, such salaries and allowances as may be respectively fixed by Parliament by law and, until provision in that behalf is so made, such salaries and allowances as are specified in the Second Schedule",Article 97: Salaries of the Speaker and Deputy Speaker,This article says that the Speaker and Deputy Speaker get a salary (money for their work) decided by Parliament.
98,"98. Secretariat of Parliament
 (1) Each House of Parliament shall have a separate secretariat staff: Provided that nothing in this clause shall be construed as preventing the creation of posts common to both Houses of Parliament
 (2) Parliament may by law regulate the recruitment, and the conditions of service of persons appointed, to the secretarial staff of either House of Parliament
 (3) Until provision is made by Parliament under clause ( 2 ), the President may, after consultation with the Speaker of the House of the People or the chairman of the council of States, as the case may be, make rules regulating the recruitment, and the conditions of service of persons appointed, to the secretarial staff of the House of the People or the council of States, and any rules so made shall have effect subject to the provisions of any law made under the said clause Conduct of Business",Article 98: Secretariat of Parliament,"This article talks about the secretaries and staff who work in Parliament.

Each House (Lok Sabha and Rajya Sabha) has its own team of workers.
The President can make rules about how these workers are hired and what their jobs are until Parliament decides.
"
99,"99. Oath or affirmation by members Every member of either House of Parliament shall, before taking his seat, make and subscribe before the President, or some person appointed in that behalf by him, an oath or affirmation according to the form set out for the purpose in the Third Schedule",Article 99: Oath or Affirmation by Members,"This article says that before a member can sit in Parliament, they need to take an oath or promise to do their job properly in front of the President or someone the President appoints."
100,"100. Voting in Houses, power of Houses to act notwithstanding vacancies and quorum
 (1) Save as otherwise provided in this Constitution, all questions at any sitting of either House or joint sitting of the Houses shall be determined by a majority of votes of the members present and voting, other than the Speaker or person acting as Chairman or Speaker The Chairman or Speaker, or person acting as such, shall not vote in the first instance, but shall have and exercise a casting vote in the case of an equality of votes
 (2) Either House of Parliament shall have power to act notwithstanding any vacancy in the membership thereof, and any proceedings in Parliament shall be valid notwithstanding that it is discovered subsequently that some person who was not entitled so to do sat or voted or otherwise took part in the proceedings
 (3) Until Parliament by law otherwise provides, the quorum to constitute a meeting of either House of Parliament shall be one tenth of the total number of members of the House
 (4) If at any time during a meeting of a House there is no quorum, it shall be the duty of the chairman or Speaker, or person acting as such, either to adjourn the House or to suspend the meeting until there is a quorum",Article 100: Voting in the Houses of Parliament,"
Most decisions in Parliament are made by voting.
The Speaker or Chairman doesn't vote unless there's a tie, and then they have the casting vote, which is the deciding vote.
Even if there are empty seats in Parliament, it can still make decisions.
If there aren't enough members present to make a decision, the meeting can be suspended until there are enough people."
101,"101. Vacation of seats
 (1) No person shall be a member of both Houses of Parliament and provision shall be made by Parliament by law for the vacation by a person who is chosen a member of both Houses of his seat in one House or the other
 (2) No person shall be a member both of Parliament and of a House of the Legislature of a State and if a person is chosen a member both of Parliament and of a House of the Legislature of a State, then, at the expiration of such period as may be specified in rules made by the President, that persons seat in Parliament shall become vacant, unless he has previously resigned his seat in the Legislature of the State
 (3) If a member of either House of Parliament
 (a) becomes subject to any of the disqualification s mentioned in clause ( 1 ) or clause ( 2 ) of Article 102, or
 (b) resigns his seat by writing under his hand addressed to the Chairman or the Speaker, as the as may be, and his resignation is accepted by the chairman or the Speaker, as the case may be, his seat shall thereupon become vacant: Provided that in the case of any resignation referred to in sub clause (b), if from information received or otherwise and after making such inquiry as he thinks fit, the chairman or the Speaker, as the case may be, is satisfied that such resignation is not voluntary or genuine, he shall not accept such resignation
 (4) If for a period of sixty days a member of either House of Parliament is without permission of the House absent from all meetings thereof, the House may declare his seat vacant: Provided that in computing the said period of sixty days no account shall be taken of any period during which the House is prorogued or is adjourned for more than four consecutive days",Article 101: Vacation of Seats,"No person can be a member of both Houses of Parliament:

If someone is elected to both Houses, Parliament will make a law that forces the person to give up their seat in one of the Houses.
No person can be a member of both Parliament and a State Legislature:

If someone is elected to both Parliament and a State Legislature, they must give up their seat in Parliament after a certain period (as decided by the President), unless they resign from the State Legislature first.
Disqualification or resignation:

A person’s seat will become vacant if:
They become disqualified (as mentioned in Article 102).
They voluntarily resign by submitting a written resignation to the Chairman or Speaker, and it is accepted by them.
Important note: If the Chairman or Speaker believes the resignation is not voluntary or genuine, they can refuse to accept it.
Absence for 60 days:

If a member is absent from all meetings of either House of Parliament for 60 days without permission, their seat can be declared vacant.
The 60-day period doesn't include the time when the House is prorogued (temporarily suspended) or adjourned for more than four consecutive days."
102,"102. Disqualification s for membership
 (1) A person shall be disqualified for being chosen as, and for being, a member of either House of Parliament
 (a) if he holds any office of profit under the Government of India or the Government of any State, other than an office declared by Parliament by law not to disqualify its holder;
 (b) if he is of unsound mind and stands so declared by a competent court;
 (c) if he is an undischarged insolvent;
 (d) if he is not a citizen of India, or has voluntarily acquired the citizenship of a foreign State, or is under any acknowledgement of allegiance or adherence to a foreign State;
 (e) if he is so disqualified by or under any law made by Parliament Explanation For the purposes of this clause a person shall not be deemed to hold an office of profit under the Government of India or the Government of any State by reason only that he is a Minister either for the Union or for such State
 (2) A person shall be disqualified for being a member of either House of Parliament if he is so disqualified under the Tenth Schedule",Article 102: Disqualifications for Membership,"This article outlines the conditions under which a person can be disqualified from being elected to, or continuing as, a member of either House of Parliament (Lok Sabha or Rajya Sabha).

Disqualifications under Clause 1:
A person will be disqualified from being chosen as a member of Parliament or from holding a seat if they:

Hold an office of profit under the government:

A person cannot be a member if they hold any government job (either at the national or state level) that provides a salary or benefits, unless Parliament specifically says that job doesn't disqualify them.
Are of unsound mind:

If a person is mentally unfit and a court has declared them so, they cannot become or remain a member of Parliament.
Are an undischarged insolvent:

If a person is bankrupt and has not been discharged from their debts, they are disqualified.
Are not a citizen of India:

If a person is not an Indian citizen, or if they have taken the citizenship of another country, or if they owe allegiance to a foreign country, they cannot be a member of Parliament.
Are disqualified under any other law made by Parliament:

If any law passed by Parliament says that a person is disqualified for some reason not listed here, they will be disqualified.
Explanation: This clause also specifies that a person who is a Minister (either for the Union or a State) will not be considered as holding an office of profit just because they are a Minister. Ministers are exempted from this particular rule.

Disqualification under Clause 2:
A person can also be disqualified from being a member of Parliament if they are disqualified under the Tenth Schedule. This refers to the law regarding defection. If a member of Parliament joins another political party or changes parties in violation of the rules in the Tenth Schedule, they can be disqualified.

"
103,"103. Decision on questions as to disqualifications of members
 (1) If any question arises as to whether a member of either House of Parliament has become subject to any of the disqualifications mentioned in clause ( 1 ) of Article 102, the question shall be referred for the decision of the President and his decision shall be final
 (2) Before giving any decision on any such question, the President shall obtain the opinion of the Election Commission and shall act according to such opinion",Article 103: Decision on Disqualifications,"
If there's a question about whether a member of Parliament is disqualified (not eligible to be a member), the President makes the final decision.
Before deciding, the President will ask the Election Commission for advice."
104,"104. Penalty for sitting and voting before making oath or affirmation under Article 99 or when not qualified or when disqualified If a person sits or votes as a member of either House of Parliament before he has complied with the requirements of Article 99, or when he knows that he is not qualified or that he is disqualified for membership thereof, or that he is prohibited from so doing by the provisions of any law made by Parliament, he shall be liable in respect of each day on which he so sits or votes to a penalty of five hundred rupees to be recovered as a debt due to the Union Powers, Privileges and Immunities of Parliament and its Members",Article 104: Penalty for Sitting or Voting Without Qualifying,"
If someone who is not qualified to be in Parliament sits or votes, they will have to pay a fine of 500 rupees for each day they do so."
105,"105. Powers, privileges, etc of the Houses of Parliament and of the members and committees thereof
 (1) Subject to the provisions of this constitution and the rules and standing orders regulating the procedure of Parliament, there shall be freedom of speech in Parliament
 (2) No member of Parliament shall be liable to any proceedings in any court in respect of anything said or any vote given by him in Parliament or any committee thereof, and no person shall be so liable in respect of the publication by or under the authority of either House of Parliament of any report, paper, votes or proceedings
 (3) In other respects, the powers, privileges and immunities of each House of Parliament, and of the members and the committees of each House, shall be such as may from time to time be defined by Parliament by law, and, until so defined shall be those of that House and of its members and committees immediately before the coming into force of Section 15 of the Constitution (Forty fourth Amendment) Act 1978
 (4) The provisions of clauses ( 1 ), ( 2 ) and ( 3 ) shall apply in relation to persons who by virtue of this constitution have the right to speak in, and otherwise to take part in the proceedings of, a House of Parliament or any committee thereof as they apply in relation to members of Parliament","Article 105: Powers, Privileges, etc., of the Houses of Parliament and its Members","This article defines the powers and privileges of Parliament, its members, and its committees. It grants certain rights to Parliament to ensure its smooth functioning and protection of its members.

Clause 1: Freedom of Speech in Parliament
Freedom of Speech: Members of Parliament have the right to speak freely in Parliament. This means they can express their views on any topic without fear of legal action, but their speech is still subject to the rules of the Parliament.
However, this freedom is not absolute and is subject to the rules and standing orders (procedures) that Parliament follows. For example, there may be limits to what can be discussed or how discussions should be conducted.
Clause 2: Immunity from Legal Proceedings
Immunity from Court Action: No member of Parliament can be sued or face any legal proceedings in a court for anything they say in Parliament or for any vote they give. This means they have legal immunity for their actions within Parliament.
Publication Immunity: Similarly, if anything published by or under the authority of Parliament, such as reports, papers, or proceedings, it cannot be used against anyone in court.
Clause 3: Powers, Privileges, and Immunities Defined by Parliament
The powers and privileges of the Parliament, its members, and its committees are decided by Parliament itself through laws.
Until these laws are made, the powers and privileges are the same as they were before 1978, when a specific amendment (Forty-Fourth Amendment) came into force.
This means that the legal rights and protections for members of Parliament (such as their ability to speak freely, etc.) were established before 1978 and continue to apply unless Parliament passes new laws to change them.
Clause 4: Application to Other People
The provisions mentioned in Clauses 1, 2, and 3 (freedom of speech, immunity from legal action, and powers/privileges) apply not just to members of Parliament, but also to those who have the right to speak in Parliament or take part in parliamentary proceedings.
This means people like Ministers or other individuals allowed to participate in parliamentary debates or committees also have these protections and privileges."
106,"106. Salaries and allowances of members Members of either House of Parliament shall be entitled to receive such salaries and allowances as may from time to time be determined by Parliament by law and, until provision in that in that respect is so made, allowances at such rates and upon such conditions as were immediately before the commencement of this Constitution applicable in the case of members of the Constituent Assembly of the Dominion of India Legislative Procedure",Article 106: Salaries and Allowances of Members,"
Members of Parliament are paid a salary and get allowances, which are determined by Parliament."
107,"107. Provisions as to introduction and passing of Bills
 (1) Subject to the provisions of Articles 109 and 117 with respect to Money Bills and other financial Bills, a Bill may originate in either House of Parliament
 (2) Subject to the provisions of Article 108 and 109, a Bill shall not be deemed to have been passed by the Houses of Parliament unless it has been agreed to by both Houses, either without amendment or with such amendments only as are agreed by both Houses
 (3) A Bill pending in Parliament shall not lapse by reason of the prorogation of the Houses
 (4) A Bill pending in the Council of States which has not been passed by the House of the People shall not lapse on a dissolution of the House of the People
 (5) A Bill which is pending in the House of the People, or which having been passed by the House of the People is pending in the council of States, shall subject to the provisions of Article 108, lapse on a dissolution of the House of the People",Article 107: Provisions as to Introduction and Passing of Bills,"This article explains how a Bill (a proposed law) is introduced and passed in Parliament. It outlines the process and conditions under which a Bill moves between the two Houses of Parliament: the Lok Sabha (House of the People) and the Rajya Sabha (Council of States).

Clause 1: Origin of a Bill
Where a Bill Can Start: A Bill can be introduced in either the Lok Sabha or the Rajya Sabha. There is no rule that requires a Bill to start in one House over the other, except for Money Bills and other financial Bills, which have specific rules (mentioned in Articles 109 and 117).
Clause 2: Agreement Between Both Houses
Agreement Required for Passage: For a Bill to be passed, both Houses must agree to it. This can be with or without changes (amendments), but any amendments must be agreed upon by both Houses.
If the Lok Sabha agrees on a Bill with amendments, the Rajya Sabha must also agree on the same amendments (and vice versa). If they cannot agree, the Bill is not passed.
Money Bills (related to taxes, government spending, etc.) have separate rules.
Clause 3: Bills Not Lapsing Due to Prorogation
No Lapse During Prorogation: If a Bill is still being discussed or has not been passed by either House, it does not get canceled or ""lapse"" if the Parliament is prorogued (temporarily closed).
This ensures that the work on the Bill can continue after Parliament reopens.
Clause 4: Bills in Rajya Sabha When Lok Sabha is Dissolved
Bill Pending in Rajya Sabha and Lok Sabha Dissolved: If a Bill is still under discussion in the Rajya Sabha and has not yet been passed by the Lok Sabha, it does not lapse if the Lok Sabha is dissolved (disbanded).
This means the Bill can still continue its passage when the new Lok Sabha is formed.
Clause 5: Bills in Lok Sabha and Rajya Sabha Dissolved
Bill Pending in Lok Sabha or Rajya Sabha and Dissolution of Lok Sabha: If a Bill is in the Lok Sabha or if it has been passed by the Lok Sabha and is still pending in the Rajya Sabha, it laps (ends) if the Lok Sabha is dissolved.
This means the Bill cannot continue unless reintroduced after the new Lok Sabha is formed.
"
