Article Number,Article,Title,Description
134,"134. Appellate jurisdiction of Supreme Court in regard to criminal matters
 (1) An appeal shall lie to the Supreme Court from any judgment, final order or sentence in a criminal proceeding of a High Court in the territory of India if the High Court has on appeal reversed an order of acquittal of an accused person and sentenced him to death; or has withdrawn for trial before itself any case from any court subordinate to its authority and has in such trial convicted the accused person and sentenced him to death; or
 (c) certifies under Article 134A that the case is a fit one for appeal to the Supreme Court: Provided that an appeal under sub clause (c) shall lie subject to such provisions as may be made in that behalf under clause ( 1 ) of Article 145 and to such conditions as the High Court may establish or require
 (2) Parliament may by law confer on the Supreme Court any further powers to entertain and hear appeals from any judgment, final order or sentence in a criminal proceeding of a High Court in the territory of India subject to such conditions and limitations as may be specified in such law
134A. Certificate for appeal to the Supreme Court Every High Court, passing or making a judgment, decree, final order, or sentence, referred to in clause ( 1 ) of Article 132 or clause ( 1 ) of Article 133, or clause ( 1 ) of Article 134
 (a) may, if it deems fit so to do, on its own motion; and
 (b) shall, if an oral application is made, by or on behalf of the party aggrieved, immediately after the passing or making of such judgment, decree, final order or sentence, determine, as soon as may be after such passing or making, the question whether a certificate of the nature referred to in clause ( 1 ) of Article 132, or clause ( 1 ) of Article 133 or, as the case may be, sub clause (c) of clause ( 1 ) of Article 134, may be given in respect of that case",Article 134 - Appellate Jurisdiction of Supreme Court in Criminal Matters and Certificate for appeal to the Supreme Court,"This article talks about criminal cases (cases where someone is accused of breaking the law).

People can appeal to the Supreme Court if the High Court:
Changes a judgment and sentences someone to death.
Takes a case from a lower court and sentences someone to death.
The Supreme Court will also hear appeals if the High Court says the case is important and needs the Supreme Court’s attention.
Parliament can also make laws to give the Supreme Court more power in hearing criminal appeals.

When a High Court makes an important decision, it can give a """"certificate"""" saying that the case is important enough to be appealed in the Supreme Court.
If a person wants to appeal, they can ask the High Court for this certificate right after the decision is made, and the High Court will decide whether to give it."
135,"135. Jurisdiction and powers of the Federal Court under existing law to be exercisable by the Supreme Court Until Parliament by law otherwise provides, the Supreme Court shall also have jurisdiction and powers with respect to any matter to which the provisions of Article 133 or Article 134 do not apply if jurisdiction and powers in relation to that matter were exercisable by the Federal Court immediately before the commencement of this Constitution under any existing law",Article 135 - Jurisdiction and powers of the Federal Court under existing law to be exercisable by the Supreme Court,"
Before India’s Constitution, there was a Federal Court. If a case wasn't covered by the Articles about High Courts, the Federal Court could handle it. After the Constitution, the Supreme Court can take on those responsibilities."
136,"136. Special leave to appeal by the Supreme Court
 (1) Notwithstanding anything in this Chapter, the Supreme Court may, in its discretion, grant special leave to appeal from any judgment, decree, determination, sentence or order in any cause or matter passed or made by any court or tribunal in the territory of India
 (2) Nothing in clause ( 1 ) shall apply to any judgment, determination, sentence or order passed or made by any court or tribunal constituted by or under any law relating to the Armed Forces",Article 136 - Special leave to appeal by the Supreme Court,"
The Supreme Court has the power to allow someone to appeal to it from any court in India, even if the law doesn’t automatically allow it. This is called ""special leave"" and is given at the Supreme Court's discretion.
However, this does not apply to cases involving the Armed Forces."
137,"137. Review of judgments or orders by the Supreme Court Subject to the provisions of any law made by Parliament or any rules made under Article 145, the Supreme Court shall have power to review any judgment pronounced or order made by it",Article 137 - Review of judgments or orders by the Supreme Court,"
The Supreme Court can review its own decisions. If it made a mistake, it can correct it. The Parliament might also make rules about how the Court can do this."
138,"138. Enlargement of the jurisdiction of the Supreme Court
 (1) The Supreme Court shall have such further jurisdiction and powers with respect to any of the matters in the Union List as Parliament may by law confer
 (2) The Supreme Court shall have such further jurisdiction, and powers with respect to any matter as the Government of India and the Government of any State may by special agreement confer, if Parliament by law provides for the exercise of such jurisdiction and powers by the Supreme Court",Article 138 - Enlargement of the jurisdiction of the Supreme Court,"
The Supreme Court’s powers can be expanded by Parliament. If Parliament decides that the Supreme Court should handle more types of cases, it can give the Court extra authority.
"
139,"139. Conferment on the Supreme Court of powers to issue certain writs Parliament may by law confer on the Supreme Court power to issue directions, orders or writs, including writs in the nature of habeas corpus, mandamus, prohibition, quo warranto and certiorari, or any of them, for any purposes other than those mentioned in clause ( 2 ) of Article 32
139A. Transfer of certain cases
 (1) Where cases involving the same or substantially the same questions of law are pending before the Supreme Court and one or more High Courts or before two or more High Courts and the Supreme Court is satisfied on its own motion or an application made by the Attorney General of India or by a party to any such case that such questions are substantial questions of general importance, the Supreme Court may withdraw the case or cases pending before the High Court or the High Courts and dispose of all the cases itself: Provided that the Supreme Court may after determining the said questions of law return any case so withdrawn together with a copy of its judgment on such questions to the High Court from which the case has been withdrawn, and the High Court shall on receipt thereof, proceed to dispose of the case in conformity with such judgment
 (2) The Supreme Court may, if it deems it expedient so to do for the ends of justice, transfer any case, appeal or other proceedings pending before any High Court to any other High Court",Article 139 - Conferment on the Supreme Court of powers to issue certain writs and Transfer of certain cases,"Parliament can give the Supreme Court the power to issue orders or """"writs"""" like habeas corpus, mandamus, and others. These orders are used to protect people’s rights and ensure justice.""
If there are multiple cases about the same legal question, the Supreme Court can take them all and decide the issue. If needed, the Supreme Court can also move cases from one High Court to another for easier justice.
Parliament can give the Supreme Court the power to issue orders or ""writs"" like habeas corpus, mandamus, and others. These orders are used to protect people’s rights and ensure justice."
140,140. Ancillary powers of Supreme Court Parliament may by law make provision for conferring upon the Supreme Court such supplemental powers not inconsistent with any of the provisions of this Constitution as may appear to be necessary or desirable for the purpose of enabling the Court more effectively to exercise the jurisdiction conferred upon it by or under this Constitution,Article 140 - Ancillary powers of Supreme Court,"
Parliament can give the Supreme Court additional powers if needed to help it do its job better, as long as those powers don't conflict with the Constitution.
"
141,141. Law declared by Supreme Court to be binding on all courts The law declared by the Supreme Court shall be binding on all courts within the territory of India,Article 141 - Law declared by Supreme Court to be binding on all courts,"
Any decision made by the Supreme Court on a law must be followed by all other courts in India. This ensures that the law is applied the same way everywhere.
"
142,"142. Enforcement of decrees and orders of Supreme Court and unless as to discovery, etc ( 1 ) The Supreme Court in the exercise of its jurisdiction may pass such decree or make such order as is necessary for doing complete justice in any cause or matter pending before it, and any decree so passed or orders so made shall be enforceable throughout the territory of India in such manner as may be prescribed by or under any law made by Parliament and, until provision in that behalf is so made, in such manner as the President may by order prescribe
 (2) Subject to the provisions of any law made in this behalf by Parliament, the Supreme Court shall, as respects the whole of the territory of India, have all and every power to make any order for the purpose of securing the attendance of any person, the discovery or production of any documents, or the investigation or punishment of any contempt of itself",Article 142 - Enforcement of decrees and orders of Supreme Court,"
If the Supreme Court makes a decision, it can issue orders that must be followed across India. The President can also make sure the orders are followed. The Supreme Court can even make orders to force people to attend court, produce documents, or punish those who disrespect the Court."
143,"143. Power of President to consult Supreme Court ( 1 ) If at any time it appears to the President that a question of law or fact has arisen, or is likely to arise, which is of such a nature and of such public importance that it is expedient to obtain the opinion of the Supreme Court upon it, he may refer the question to that Court for consideration and the Court may, after such hearing as it thinks fit, report to the President its opinion thereon
 (2) The President may, notwithstanding anything in the proviso to Article 131, refer a dispute of the kind mentioned in the said proviso to the Supreme Court for opinion and the Supreme Court shall, after such hearing as it thinks fit, report to the President its opinion thereon",Article 143 - Power of President to consult Supreme Court,"
If the President thinks a question of law is very important and needs clarity, they can ask the Supreme Court for its opinion. The Supreme Court will consider the issue and give its opinion.
The President can also ask the Supreme Court about disputes between states and the central government."
144,"144. Civil and judicial authorities to act in aid of the Supreme Court All authorities, civil and judicial, in the territory of India shall act in aid of the Supreme Court",Article 144 - Civil and judicial authorities to act in aid of the Supreme Court,"
All government authorities and courts in India must help the Supreme Court in its work. This ensures that the Supreme Court’s orders are carried out.
"
145,"145. Rules of Court, etc
 (1) Subject to the provisions of any law made by Parliament the Supreme Court may from time to time, with the approval of the President, make rules for regulating generally the practice and procedure of the Court including
 (a) rules as to the persons practising before the Court,
 (b) rules as to the procedure for hearing appeals, and other matters pertaining to appeals including the time within which appeals to the Court are to be entered;
 (c) rules as to the proceedings in the Court for the enforcement of any of the rights conferred by Part III;
 (cc) rules as to the proceedings in the Court under Article 139A;
 (d) rules as to the entertainment of appeals under sub clause (c) of clause ( 1 ) of Article 134;
 (e) any judgment pronounced or order made by the Court may be received and rules as to the conditions the procedure for such review including the time within which applications to the Court for such review are to be entered;
 (f) rules as to the costs of and incidental to any proceedings in the Court and as to the fees to be charged in respect of proceeding therein;
 (g) rules as to the granting of bail;
 (h) rules as to stay of proceedings;
 (i) rules providing for the summary determination of any appeal which appears to the Court to be frivolous or vexatious or brought for the purpose of delay;
 (j) rules as to the procedure for inquiries referred to in clause ( 1 ) of Article 317
 (2) Subject to the provisions of clause ( 3 ), rules made under this article may fix the minimum number of Judges who are to sit for any purpose, and may provide for the powers of single Judges and Division Courts
 (3) The minimum number of Judges who are to sit for the purpose of deciding any case involving a substantial question of law as to the interpretation of this Constitution or for the purpose of hearing any reference under Article 143 shall be five: Provided that, where the Court hearing an appeal under any of the provisions of this chapter other than Article 132 consists of less than five Judges and in the course of the hearing of the appeal the Court is satisfied that the appeal involves a substantial question of law as to the interpretation of this Constitution the determination of which is necessary for the disposal of the appeal, such Court shall refer the question for opinion to a Court constituted as required by this clause for the purpose of deciding any case involving such a question and shall on receipt of the opinion dispose of the appeal in conformity with such opinion
 (4) No judgment shall be delivered by the Supreme Court save in open Court, and no report shall be made under Article 143 save in accordance with an opinion also delivered in open Court
 (5) No judgment and no such opinion shall be delivered by the Supreme Court save with the concurrence of a majority of the Judges present at the hearing of the case, but nothing in this clause shall be deemed to prevent a Judge who does not concur from delivering a dissenting judgment or opinion","Article 145: Rules of Court, etc.","This article grants the Supreme Court the authority to establish its own rules of practice and procedure, subject to the laws made by Parliament and with the approval of the President.

Key Provisions of Article 145:
Supreme Court's Power to Make Rules (Clause 1):

The Supreme Court can create rules to regulate the practice and procedure of the Court. This includes a wide range of matters, such as:
Rules for practitioners: The Court can set rules for the individuals or entities who may practice before it.
Appeals procedure: It can create rules for hearing appeals, including the time limits within which appeals must be filed.
Enforcement of rights: The Court can establish rules regarding proceedings to enforce rights granted by Part III of the Constitution (Fundamental Rights).
Article 139A procedures: Rules can be made for proceedings under Article 139A (transfer of cases to the Supreme Court).
Appeals under Article 134: The Court can create rules for entertaining appeals under specific provisions of Article 134 (regarding appeals in criminal matters).
Review of judgments: The Court can establish procedures for reviewing its own judgments or orders, including the time within which review applications must be filed.
Costs and fees: Rules regarding the costs involved in any proceedings and the fees that should be charged for those proceedings.
Bail: Rules for the granting of bail in cases heard by the Supreme Court.
Stay of proceedings: Rules concerning the stay of proceedings.
Frivolous appeals: Rules allowing the summary dismissal of frivolous or vexatious appeals.
Inquiries under Article 317: The Court can regulate the procedure for inquiries referred to in Article 317 (related to removal of certain public servants).
Minimum Number of Judges for Certain Cases (Clause 2 and 3):

Clause 2: The Supreme Court rules may fix the minimum number of judges required to hear a case or perform a function. It can also provide for the powers of single judges or division benches (a bench with more than one judge).
Clause 3: For cases involving substantial constitutional questions, a minimum of five judges must hear the case. This also applies to references made under Article 143.
However, if a smaller bench (less than five judges) hears a case and finds a substantial constitutional question that must be addressed, the bench must refer the issue to a larger bench (five judges or more). Once the larger bench delivers its opinion, the smaller bench will dispose of the case based on that opinion.
Judgment Delivery (Clause 4):

Open Court Delivery: The Supreme Court must deliver its judgments in open court. This ensures transparency and accountability in the judicial process.
Article 143 Opinion: Similarly, any report or opinion under Article 143 (which involves the President seeking advice from the Supreme Court on legal matters) must also be delivered in open court.
Majority for Judgment (Clause 5):

For any judgment or opinion to be delivered, it must have the concurrence of the majority of the judges present in the hearing.
However, a judge who does not agree with the majority can still deliver a dissenting judgment or opinion."
146,"146. Officers and servants and the expenses of the Supreme Court
 (1) Appointments of officers and servants of the Supreme Court shall be made by the Chief Justice of India or such other Judge or officer of the Court as he may direct: Provided that the President may by rule require that in such cases as may be specified in the rule, no person not already attached to the Court shall be appointed to any office connected with the Court, save after consultation with the Union Public Service Commission
 (2) Subject to the provisions of any law made by Parliament, the conditions of service of officers and servants of the Supreme Court shall be such as may be prescribed by rules made by the Chief Justice of India or by some other Judge or officer of the Court authorised by the Chief Justice of India to make rules for the purpose: Provided that the rules made under this clause shall, so far as they relate to salaries, allowances, leave or pensions, require the approval of the President
 (3) The administrative expenses of the Supreme Court, including all salaries, allowances and pensions payable to or in respect of the offices and servants of the Court, shall be charged upon the Consolidated Fund of India, and any fees or other moneys taken by the court shall form part of that Fund",Article 146: Officers and Servants and the Expenses of the Supreme Court,"This article outlines the provisions related to the appointments, conditions of service, and expenses of the officers and servants working in the Supreme Court of India.

Key Provisions of Article 146:
Appointments of Officers and Servants (Clause 1):

Appointments for officers and servants of the Supreme Court will be made by the Chief Justice of India (CJI) or by another judge or officer as directed by the CJI.
Consultation with the Union Public Service Commission (UPSC):
The President of India can issue rules requiring that in certain cases, no person who is not already attached to the Supreme Court should be appointed to any office connected with the Court, unless consulted with the UPSC.
Conditions of Service (Clause 2):

The conditions of service (such as work duties, roles, and responsibilities) for officers and servants will be prescribed by rules made by the Chief Justice of India or a designated officer/judge authorized by the CJI.
However, if these rules relate to salaries, allowances, leave, or pensions, they require the approval of the President of India.
Administrative Expenses (Clause 3):

The administrative expenses of the Supreme Court (including salaries, allowances, and pensions for officers and servants) are to be charged upon the Consolidated Fund of India.
Any fees or other money collected by the Court will also become part of the Consolidated Fund of India"
147,"147. Interpretation In this Chapter and in Chapter V of Part VI references to any substantial question of law as to the interpretation of this Constitution shall be construed as including references to any substantial question of law as to the interpretation of the Government of India Act, 1935 (including any enactment amending or supplementing that Act), or of any Order in Council or order made thereunder, or of the Indian Independence Act, 1947 , or of any order made thereunder CHAPTER V COMPTROLLER AND AUDITOR GENERAL OF INDIA",Article 147: Interpretation,"This article is about how to interpret certain laws or constitutional questions. If there’s any doubt about how to understand the Constitution or older laws like the Government of India Act of 1935, it should be treated as a big question about the Constitution."
