Article Number,Article,Title,Description
71,"71. Matters relating to, or connected with, the election of a president or Vice President
 (1) All doubts and disputes arising out of or in connection with the election of a president or vice President shall be inquired into and decided by the Supreme court whose decision shall be final
 (2) If the election of a person as President or Vice President is declared void by the Supreme court, acts done by him in the exercise and performance of the powers and duties of the office of President or Vice President, as the case may be, on or before the date of the decision of the Supreme Court shall not be invalidated by reason of that declaration
 (3) Subject to the provisions of this constitution, Parliament may by law regulate any matter relating to or connected with the election of a President or Vice President
 (4) The election of a person as President or Vice President shall not be called in question on the ground of the existence of any vacancy for whatever reason among the members of the electoral college electing him",Article 71 - Election Disputes of the President and Vice President,"If there’s any problem or confusion about the election of the President or Vice President, only the Supreme Court can decide, and its decision is final.
If the Supreme Court says someone’s election as President or Vice President was not valid, anything they did while in that position is still okay and won’t be canceled.
Parliament (the group that makes laws for the country) can make rules about the elections of the President and Vice President.
No one can question the election of the President or Vice President just because some voters in the election group (electoral college) were missing.
"
72,"72. Power of President to grant pardons, etc, and to suspend, remit or commute sentences in certain cases
 (1) The President shall have the power to grant pardons, reprieves, respites or remissions of punishment or to suspend, remit or commute the sentence of any person convicted of any offence
 (a) in all cases where the punishment or sentence is by a court Martial;
 (b) in all cases where the punishment or sentence is for an offence against any law relating to a matter to which the executive power of the Union extends;
 (c) in all cases where the sentence is a sentence of death
 (2) Noting in sub clause (a) of Clause ( 1 ) shall affect the power to suspend, remit or commute a sentence of death exercisable by the Governor of a State under any law for the time being in force",Article 72 - President’s Power to Forgive or Change Punishments,"The President has the power to:
Forgive someone’s punishment entirely (called a pardon).
Reduce the punishment.
Delay the punishment for a while.
Change the punishment to something less severe.
This applies especially to:
Military punishments.
Crimes under laws that the Union (central government) controls.
Death sentences.
The Governor of a state can also reduce or change a death sentence, and this does not affect the President’s power."
73,"73. Extent of executive power of the Union
 (1) Subject to the provisions of this Constitution, the executive power of the Union shall extend
 (a) to the matters with respect to which Parliament has power to make laws; and
 (b) to the exercise of such rights, authority and jurisdiction as are exercisable by the government of India by virtue of any treaty on agreement: Provided that the executive power referred to in sub clause (a) shall not, save as expressly provided in this constitution or in any law made by Parliament, extend in any State to matters with respect in which the Legislature of the State has also power to make laws
 (2) Until otherwise provided by Parliament, a State and any officer or authority of a State may, notwithstanding anything in this article, continue to exercise in matters with respect to which Parliament has power to make laws for that State such executive power or functions as the State or officer or authority thereof could exercise immediately before the commencement of this Constitution Council of Ministers",Article 73 - Union’s Executive Power,"The Union (central government) has the power to:
Handle anything Parliament can make laws about.
Take care of matters agreed upon in treaties or agreements with other countries.
But this power cannot be used in areas where state governments can also make laws unless the Constitution or Parliament allows it.
Until Parliament says otherwise, states can continue managing matters that overlap with Parliament’s law-making powers. "
74,"74. Council of Ministers to aid and advise President
 (1) There shall be a Council of Ministers with the Prime Minister at the head to aid and advise the President who shall, in the exercise of his functions, act in accordance with such advice: Provided that the President may require the council of Ministers to reconsider such advice, either generally or otherwise, and the President shall act in accordance with the advice tendered after such reconsideration
 (2) The question whether any, and if so what, advice was tendered by Ministers to the President shall not be inquired into in any court",Article 74 - The President’s Council of Ministers,"The President gets help and advice from a group of people called the Council of Ministers, led by the Prime Minister. The President must follow their advice, but they can ask the council to think again before finalizing.
Courts cannot question the advice given by the ministers to the President.
"
75,"75. Other provisions as to Ministers
 (1) The Prime Minister shall be appointed by the President and the other Ministers shall be appointed by the President on the advice of the Prime Minister
 (2) The Minister shall hold office during the pleasure of the President
 (3) The Council of Ministers shall be collectively responsible to the House of the People
 (4) Before a Minister enters upon his office, the President shall administer to him the oaths of office and of secrecy according to the forms set out for the purpose in the Third Schedule
 (5) A Minister who for any period of six consecutive months is not a member of either House of Parliament shall at the expiration of that period cease to be a Minister
 (6) The salaries and allowances of Ministers shall be such as Parliament may from time to time by law determine and, until Parliament so determines, shall be as specified in the Second Schedule The Attorney General for India",Article 75 - Rules About Ministers,"The President appoints the Prime Minister. The other ministers are picked by the President based on the Prime Minister’s advice.
Ministers stay in their jobs as long as the President allows.
The Council of Ministers works together and is responsible to the House of the People (Lok Sabha).
Before starting their job, a minister must take an oath, which is given by the President.
If a minister isn’t a member of Parliament for 6 months, they must leave their job.
Parliament decides the salaries of the ministers.
"
76,"76. Attorney General for India
 (1) The President shall appoint a person who is qualified to be appointed a Judge of the Supreme Court to be Attorney General for India
 (2) it shall be the duty of the Attorney General to give advice to the Government of India upon such legal matters, and to perform such other duties of a legal character, as may from time to time be referred or assigned to him by the President, and to discharge the functions conferred on him by or under this Constitution or any other law for the time being in force
 (3) In the performance of his duties the Attorney General shall have right of audience in all courts in the territory of India
 (4) The Attorney General shall hold office during the pleasure of the President, and shall receive such remuneration as the President may determine Conduct of Government Business",Article 76 - The Attorney General of India,"The Attorney General is the top lawyer for the country, chosen by the President. They must be qualified to be a Supreme Court judge.
Their job is to give legal advice to the government and handle legal matters given to them by the President.
They can speak in courts anywhere in India.
They keep their job as long as the President wants and are paid by the President."
77,"77. Conduct of business of the Government of India
 (1) All executive action of the Government of India shall be expressed to be taken in the name of the President
 (2) Orders and other instruments made and executed in the name of the President shall be authenticated in such manner as may be specified in rules to be made by the President, and the validity of an order or instrument which is so authenticated shall nor be called in question on the ground that it is not an order or instrument made or executed by the President
 (3) The President shall make rules for the more convenient transaction of the business of the Government of India, and for the allocation among Ministers of the said business",Article 77 - How Government Actions Are Done,"Every action or decision of the government is officially done in the name of the President.
Rules will decide how orders or actions in the President’s name are signed, and no one can question whether an order was really from the President.
The President makes rules for how government business is organized and divided among ministers."
78,"78. Duties of Prime Minister as respects the furnishing of information to the President, etc It shall be the duty of the Prime Minister
 (a) to communicate to the President all decisions of the council of Ministers relating to the administration of the affairs of the union and proposals for legislation;
 (b) to furnish such information relating to the administration of the affairs of the Union and proposals for legislation as the President may call for; and
 (c) if the President so requires, to submit for the consideration of the Council of Ministers any matter on which a decision has been taken by a Minister but which has not been considered by the Council CHAPTER II PARLIAMENT General",Article 78 - Duties of the Prime Minister to the President,"The Prime Minister must:

Tell the President about decisions made by the Council of Ministers regarding how the country is run.
Share any information the President asks for about the country’s administration.
Bring matters to the Council of Ministers if the President asks, even if a single minister decided on it earlier.
"
148,"148. Comptroller and Auditor General of India
 (1) There shall be a Comptroller and Auditor General of India who shall be appointed by the President by warrant under his hand and seal and shall only be removed from office in like manner and on the like grounds as a Judge of the Supreme Court
 (2) Every person appointed to be the Comptroller and Auditor General of India shall, before he enters upon his office, make and subscribe before the President, or some person appointed in that behalf by him, an oath or affirmation according to the form set out for the purpose in the Third Schedule
 (3) The salary and other conditions of service of the Comptroller and Auditor General shall be such as may be determined by Parliament by law and, until they are so determined, shall be as specified in the Second Schedule: Provided that neither the salary of a Comptroller and Auditor General nor his rights in respect of leave of absence, pension or age of retirement shall be varied to his disadvantage after his appointment
 (4) The Comptroller and Auditor General shall not be eligible for further office either under the Government of India or under the Government of any State after he has ceased to hold his office
 (5) Subject to the provisions of this Constitution and of any law made by Parliament, the conditions of service of persons serving in the Indian Audit and Accounts Department and the administrative powers of the Comptroller and Auditor General shall be such as may be prescribed by rules made by the President after consultation with the Comptroller and Auditor General
 (6) The Administrative expenses of the office of the Comptroller and Auditor General, including all salaries, allowances and pensions payable to or in respect of pensions serving in that office, shall be charged upon the Consolidated Fund of India",Article 148: Comptroller and Auditor General of India,"This article establishes the Comptroller and Auditor General (CAG) of India, outlining the office's appointment, conditions of service, powers, and remuneration.

Key Provisions of Article 148:
Appointment and Removal (Clause 1):

The Comptroller and Auditor General of India (CAG) is appointed by the President of India by a warrant under his hand and seal.
The removal of the CAG can only occur in the same manner and on the same grounds as the removal of a Supreme Court judge (i.e., through an address by both Houses of Parliament supported by a majority).
Oath or Affirmation (Clause 2):

Before assuming office, the CAG must make and subscribe to an oath or affirmation before the President or a person designated by the President, according to the form in the Third Schedule of the Constitution.
Salary and Conditions of Service (Clause 3):

The salary and conditions of service of the CAG are determined by Parliament through law. Until Parliament makes this law, they are specified in the Second Schedule.
Salary Protection: The salary, leave, pension, and retirement age of the CAG cannot be reduced to their disadvantage after the appointment.
Eligibility for Further Office (Clause 4):

Once the CAG has ceased to hold office, he is not eligible for further office under the Government of India or the State Governments.
Conditions of Service for Audit Department Personnel (Clause 5):

The conditions of service of the personnel in the Indian Audit and Accounts Department and the administrative powers of the CAG are prescribed by rules made by the President, in consultation with the CAG.
Administrative Expenses (Clause 6):

The administrative expenses of the CAG's office, including salaries, allowances, and pensions of the personnel, are charged on the Consolidated Fund of India."
149,"149. Duties and powers of the Comptroller and Auditor General The Comptroller and Auditor General shall perform such duties and exercise such powers in relation to the accounts of the Union and of the States and of any other authority or body as may be prescribed by or under any law made by Parliament and, until provision in that behalf is so made, shall perform such duties and exercise such powers in relation to the accounts of the Union and of the States as were conferred on or exercisable by the Auditor General of India immediately before the commencement of this Constitution in relation to the accounts of the Dominion of India and of the Provinces respectively",Article 149: Duties and Powers of the Comptroller and Auditor General,"The CAG has to check the accounts of the Union (central government), states, and any other organization the Parliament chooses. They do this based on the rules set by the Parliament, or if the Parliament hasn’t made any rules, the CAG will follow the rules that were in place before the Constitution."
150,"150. Form of accounts of the Union and of the States The accounts of the Union and of the States shall be kept in such form as the President may, on the advice of the Comptroller and Auditor General of India, prescribe",Article 150: Form of Accounts of the Union and States,The CAG helps decide the way the Union and state accounts should be kept. The President listens to the CAG’s advice to make these rules.
151,"151. Audit reports
 (1) The reports of the Comptroller and Auditor General of India relating to the accounts of the Union shall be submitted to the President, who shall cause them to be laid before each House of Parliament
 (2) The reports of the Comptroller and Auditor General of India relating to the accounts of a State shall be submitted to the Governor of the State, who shall cause them to be laid before the Legislature of the State PART VI THE STATES CHAPTER I GENERAL",Article 151: Audit Reports,"Union Reports: The CAG’s reports about the Union’s accounts go to the President, who then sends them to Parliament.
State Reports: The CAG’s reports about a state’s accounts go to the state’s Governor, who sends them to the state legislature.
"
