Article Number,Article,Title,Description
224,"224. Appointment of additional and acting Judges
 (1) If by reason of any temporary increase in the business of High Court or by reason of arrears of work therein, it appears to the President that the number of the Judges of that Court should be for the time being increased, the President may appoint duly qualified persons to be additional Judges of the Court for such period not exceeding two years as he may specific
 (2) When any Judge of a High Court other than the Chief Justice is by reason of absence or for any other reason unable to perform the duties of his office or is appointed to act temporarily as Chief Justice, the President may appoint a duly qualified person to act as a Judge of that Court until the permanent Judge has resumed his duties
 (3) No person appointed as an additional or acting Judge of a High Court shall hold office after attaining the age of sixty two years",Article 224: Appointment of Additional and Acting Judges,"(1) Appointment of Additional Judges
When there is a temporary increase in cases or pending work (arrears) in a High Court, the President can increase the number of Judges.
Additional Judges are appointed for a specified period, not exceeding two years.
Only individuals who meet the qualifications under Article 217 can be appointed.
(2) Appointment of Acting Judges
If a permanent Judge (other than the Chief Justice):
Is absent, or
Unable to perform duties, or
Is temporarily acting as Chief Justice,
the President can appoint a qualified person as an Acting Judge.
The Acting Judge will serve until the permanent Judge resumes duties.
(3) Age Limit
No additional or acting Judge can hold office after reaching the age of 62 years.
Article 224A: Appointment of Retired Judges at High Court Sittings
Request for Retired Judges
The Chief Justice of a High Court can, with the President’s prior consent, request a retired Judge:
From the same High Court, or
From any other High Court,
to sit and act as a Judge for that High Court.
Consent and Allowances
The retired Judge:
Must agree to this request.
Will receive allowances as determined by the President.
While serving, will have the same jurisdiction, powers, and privileges as a regular Judge.
However, the retired Judge will not be considered a permanent Judge of the High Court."
225,"225. Jurisdiction of existing High Courts Subject to the provisions of this Constitution and to the provisions of any law of the appropriate Legislature made by virtue of powers conferred on that Legislature by this Constitution, the jurisdiction of, and the law administered in, any existing High Court, and the respective powers of the Judges thereof in relation to the administration of justice in the Court, including any power to make rules of Court and to regulate the sittings of the Court and of members thereof sitting alone or in Division Courts, shall be the same as immediately before the commencement of this Constitution: Provided that any restriction to which the exercise of original jurisdiction by any of the High Courts with respect to any matter concerning the revenue or concerning any act ordered or done in the collection thereof was subject immediately before the commencement of this Constitution shall no longer apply to the exercise of such jurisdiction",Article 225: Powers of Existing High Courts,"Before the Constitution, some High Courts already existed. Article 225 confirms that these courts continue to have the same powers, like hearing cases and making decisions, unless the Constitution itself says otherwise. The article ensures that existing judicial structures were not disrupted by the new Constitution."
226,"""226. Power of High Courts to issue certain writs
 (1) Notwithstanding anything in Article 32 every High Court shall have powers, throughout the territories in relation to which it exercise jurisdiction, to issue to any person or authority, including in appropriate cases, any Government, within those territories directions, orders or writs, including writs in the nature of habeas corpus, mandamus, prohibitions, quo warranto and certiorari, or any of them, for the enforcement of any of the rights conferred by Part III and for any other purpose
 (2) The power conferred by clause ( 1 ) to issue directions, orders or writs to any Government, authority or person may also be exercised by any High Court exercising jurisdiction in relation to the territories within which the cause of action, wholly or in part, arises for the exercise of such power, notwithstanding that the seat of such Government or authority or the residence of such person is not within those territories
 (3) Where any party against whom an interim order, whether by way of injunction or stay or in any other manner, is made on, or in any proceedings relating to, a petition under clause ( 1 ), without
 (a) furnishing to such party copies of such petition and all documents in support of the plea for such interim order; and
 (b) giving such party an opportunity of being heard, makes an application to the High Court for the vacation of such order and furnishes a copy of such application to the party in whose favour such order has been made or the counsel of such party, the High Court shall dispose of the application within a period of two weeks from the date on which it is received or from the date on which the copy of such application is so furnished, whichever is later, or where the High Court is closed on the last day of that period, before the expiry of the next day afterwards on which the High Court is open; and if the application is not so disposed of, the interim order shall, on the expiry of that period, or, as the case may be, the expiry of the aid next day, stand vacated
 (4) The power conferred on a High Court by this article shall not be in derogation of the power conferred on the Supreme court by clause ( 2 ) of Article 32""
226. A Constitutional validity of Central laws not to be considered in proceedings under Article 226 Omitted",Article 226: Power of High Courts to Issue Certain Writs,"(1) General Power to Issue Writs
Every High Court has the authority to issue directions, orders, or writs for:
Enforcing Fundamental Rights (Part III of the Constitution).
Other legal purposes.
Writs may include:
Habeas Corpus: Protects against unlawful detention.
Mandamus: Commands an authority to perform a duty.
Prohibition: Stops a lower court from acting beyond its jurisdiction.
Quo Warranto: Challenges the legality of a person’s claim to a public office.
Certiorari: Reviews and corrects decisions of lower courts or tribunals.
This power extends throughout the territories under the High Court’s jurisdiction.
(2) Jurisdiction Based on Cause of Action
High Courts can exercise their writ powers even if:
The seat of Government, authority, or person is outside their territorial jurisdiction,
as long as the cause of action arises (wholly or partially) within their jurisdiction.
(3) Interim Orders
High Courts can issue interim orders (e.g., injunctions or stays). However:
The opposing party must be:
Given copies of the petition and related documents.
Heard before the order is made.
If this is not done:
The opposing party may apply for the vacation of the interim order.
The High Court must decide on this application within two weeks (or on the next working day if the court is closed).
If not resolved in time, the interim order stands vacated.
(4) Relationship with Supreme Court’s Powers
High Courts’ writ powers under Article 226:
Do not override the Supreme Court’s authority under Article 32(2).
Article 226A: Omitted
This article, previously concerning the constitutional validity of Central laws, has been omitted."
227,"227. Power of superintendence over all courts by the High Court
 (1) Every High Court shall have superintendence over all courts and tribunals throughout the territories interrelation to which it exercises jurisdiction
 (2) Without prejudice to the generality of the foregoing provisions, the High Court may
 (a) call for returns from such courts;
 (b) make and issue general rules and prescribe forms for regulating the practice and proceedings of such courts; and
 (c) prescribe forms in which books, entries and accounts shall be kept by the officers of any such courts
 (3) The High Court may also settle tables of fees to be allowed to the sheriff and all clerks and officers of such courts and to attorneys, advocates and pleaders practising therein: Provided that any rules made, forms prescribed or tables settled under clause ( 2 ) or clause ( 3 ) shall not be inconsistent with the provision of any law for the time being in force, and shall require the previous approval of the Governor
 (4) Nothing in this article shall be deemed to confer on a High Court powers of superintendence over any court or tribunal constituted by or under any law relating to the Armed Forces",Article 227: Power of Superintendence Over All Courts by the High Court,"(1) General Superintendence
Every High Court has the power of superintendence over all courts and tribunals within its jurisdiction.
(2) Specific Powers of the High Court
The High Court may:
(a) Call for returns (reports) from such courts.
(b) Issue general rules and prescribe forms to regulate the practice and proceedings of such courts.
(c) Prescribe the formats in which court officers must maintain books, entries, and accounts.
(3) Fee Structures
The High Court can:
Settle tables of fees for:
Sheriffs, clerks, and officers of such courts.
Attorneys, advocates, and pleaders practicing in these courts.
Conditions:
These rules, forms, or fee tables must not conflict with any existing law.
They require the Governor’s prior approval.
(4) Exception: Armed Forces Courts and Tribunals
This article does not grant High Courts supervisory power over:
Courts or tribunals established under laws related to the Armed Forces.






"
228,"228. Transfer of certain cases to High Court If the High Court is satisified that a case pending in a court subordinate to it involves a substantial question of law as to the interpretation of this Constitution the determination of which is necessary for the disposal of the case, it shall withdraw the case and may
 (a) either dispose of the case itself, or
 (b) determine the said question of law and return the case to the court from which the case has been so withdrawn together with a copy of its judgment on such question, and the said court shall on receipt thereof proceed to dispose of the case in confirmity with such judgment""
228A. Special provisions as to disposal of question relating to constitutional validity of State Laws Rep by the Constitution (Forty third Amendment) Act, 1977 , sec 10, (w e f 13 4 1978 )",Article 228: Transfer of Certain Cases to High Court,"Power to Withdraw Cases
If a High Court is satisfied that:
A case pending in a subordinate court involves a substantial question of law about the interpretation of the Constitution, and
Resolving this question is necessary for the disposal of the case,
The High Court shall withdraw the case.
Actions by the High Court
After withdrawing the case, the High Court may:

(a) Dispose of the case itself, or
(b) Decide the question of law and return the case to the subordinate court, along with a copy of its judgment on the question.
The subordinate court must then proceed to dispose of the case in conformity with the High Court’s judgment.
Article 228A: Special Provisions for State Laws
This article, which related to the disposal of questions about the constitutional validity of State laws, was repealed by the Constitution (Forty-third Amendment) Act, 1977, Section 10 (effective from April 13, 1978)."
229,"229. Officers and servants and the expenses of High Courts
 (1) Appointments of officers and servants of a High Court shall be made by the Chief Justice of the Court or such other Judge or officer of the Court as he may direct: Provided that the Governor of the State may by rule require that in such cases as may be specified in the rule no person not already attached to the Court shall be appointed to any office connected with the Court save after consultation with the State Public Service Commission
 (2) Subject to the provisions of any law made by the Legislature of the State, the conditions of service of officers and servants of a High Court shall be such as may be prescribed by rules made by the Chief Justice of the Court or by some other Judge or officer of the Court authorised by the Chief Justice to make rules for the purpose: Provided that the rules made under this clause shall, so far as they relate to salaries, allowances, leave or pensions, require the approval of the Governor of the State
 (3) The administrative expenses of a High Court, including all salaries, allowacnes and pensions payable to or in respect of the officers and servants of the court, shall be charged upon the Consolidated Fund of the State, and any fees or other moneys taken by the Court shall form part of that Fund",Article 229: Officers and Servants and the Expenses of High Courts,"(1) Appointments
Authority: The Chief Justice of the High Court has the power to appoint officers and servants of the Court.
Delegation: The Chief Justice may delegate this power to another Judge or officer of the Court.
Governor's Role:
The Governor may make rules specifying cases where:
No new appointments (to offices connected with the Court) shall be made without consulting the State Public Service Commission, unless the person is already attached to the Court.
(2) Conditions of Service
Rule-Making Authority:
The Chief Justice or an authorised Judge/officer of the Court may prescribe the conditions of service for the Court’s officers and servants.
Governor's Approval:
Rules regarding salaries, allowances, leave, or pensions require the Governor's approval.
State Legislature's Role: These provisions are subject to laws made by the State Legislature.
(3) Administrative Expenses
Source of Funding:
The administrative expenses of the High Court (including salaries, allowances, and pensions) are charged to the Consolidated Fund of the State.
Revenue Handling:
Any fees or other monies collected by the High Court will also form part of the Consolidated Fund of the State.





"
230,"230. Extension of jurisdiction of High Courts to Union territories
 (1) Parliament may by law extend the jurisdiction of a High Court to, or exclude the jurisdiction of a High Court from, any Union territory
 (2) Where the High Court of a State exercises jurisdiction in relation to a Union territory:
 (a) nothing in this Constitution shall be construed as empowering the Legislature of the State to increase, restrict or abolish that jurisdiction; and
 (b) the reference in article 227 to the Governor shall, in relation to any rules, forms or tables for subordinate courts in that territory, be construed as a reference to the President",Article 230: Extension of Jurisdiction of High Courts to Union Territories,"(1) Power of Parliament
Jurisdiction Alteration:
Parliament, by law, may:
Extend the jurisdiction of a High Court to any Union territory, or
Exclude the jurisdiction of a High Court from any Union territory.
(2) High Court Jurisdiction Over Union Territories
When a High Court of a State exercises jurisdiction over a Union territory:
(a) The Legislature of the State is not empowered to:
Increase, restrict, or abolish that jurisdiction.
(b) In the context of Article 227:
References to the Governor (regarding rules, forms, or tables for subordinate courts in that Union territory) shall be understood as references to the President."
231,"231. Establishment of a common High Court for two or more States
 (1) Notwithstanding anything contained in the preceding provisions of this Chapter, Parliament may by law establish a common High Court for two or more States or for two or more States and a Union territory
 (2) In relation to any such High Court,
 (a) the reference in article 217 to the Governor of the State shall be construed as a reference to the Governors of all the States in relation to which the High Court exercises jurisdiction;
 (b) the reference in article 227 to the Governor shall, in relation to any rules, forms or tables for subordinate courts, be construed as a reference to the Governor of the State in which the Subordinate Courts are situate; and
 (c) the reference in articles 219 and 229 to the State shall be construed as a reference to the State in which the High Court has its principal seat: Provided that if such principal seat is in a Union territory, the references in articles 210 and 229 to the Governor, Public Service Commission, Legislature and Consolidated Fund of the State shall be construed respectively as references to the President, Union Public Service Commission, Parliament and Consolidated Fund of India",Article 231: Establishment of a Common High Court for Two or More States,"(1) Power of Parliament to Establish a Common High Court
Parliament has the authority to establish a common High Court for:
Two or more States, or
Two or more States and a Union territory.
This can be done by law.
(2) Provisions Related to a Common High Court
For any common High Court established under this article:

(a) Governors in Reference to Article 217:
The reference in Article 217 (which deals with the appointment of High Court Judges) to the Governor of a State shall be understood as referring to the Governors of all the States for which the common High Court has jurisdiction.
(b) Governor in Reference to Article 227:
The reference in Article 227 (which relates to the superintendence of High Courts over subordinate courts) to the Governor shall, in the case of rules, forms, or tables for subordinate courts, be interpreted as a reference to the Governor of the State where the subordinate courts are located.
(c) State in Reference to Articles 219 and 229:
The references in Articles 219 (which deals with the oath of office of High Court Judges) and 229 (which concerns the officers and servants of High Courts) to the State shall be understood as referring to the State where the principal seat of the common High Court is located.
Exception: If the principal seat is located in a Union territory, the references in Articles 210 (dealing with the Governor’s role), 229 (dealing with officers and servants of the court), to Public Service Commission, Legislature, and Consolidated Fund shall be interpreted as references to the President, the Union Public Service Commission, Parliament, and the Consolidated Fund of India, respectively."
232,"232. Omitted by the Constitution 7 th Amendment Act, 1956 CHAPTER VI SUBORDINATE COURTS",Article 232: Omitted,"Article 232 was removed by the Constitution (7th Amendment) Act, 1956.
"
233,"233. Appointment of district judges
 (1) Appointments of persons to be, and the posting and promotion of, district judges in any State shall be made by the Governor of the State in consultation with the High Court exercising jurisdiction in relation to such State
 (2) A person not already in the service of the Union or of the State shall only be eligible to be appointed a district judge if he has been for not less than seven years an advocate or a pleader and is recommended by the High Court for appointment
233. A Validation of appointments of, and judgments, etc, delivered by, certain district judges Notwithstanding any judgment, decree or order of any court,
 (a)
 (i) no appointment of any person already in the judicial service of a State or of any person who has been for not less than seven years an advocate or a pleader, to be a district judge in that State, and
 (ii) no posting, promotion or transfer of any such person as a district judge, made at any time before the commencement of the Constitution (Twentieth Amendment) Act, 1966 , otherwise than in accordance with the provisions of Article 233 or Article 235 shall be deemed to be illegal or void or ever to have become illegal or void by reason only of the fact that such appointment, posting, promotion or transfer was not made in accordance with the said provisions;
 (b) no jurisdiction exercised, no judgment, decree, sentence or order passed or made, and no other act or proceeding done or taken, before the commencement of the Constitution (Twentieth Amendment) Act, 1966 by, or before, any person appointed, posted, promoted or transferred as a district judge in any State otherwise than in accordance with the provisions of Article 233 or Article 235 shall be deemed to be illegal or invalid or ever to have become illegal or invalid by reason only of the fact that such appointment, posting, promotion or transfer was not made in accordance with the said provisions",Article 233: Appointment of District Judges,"Appointments and Promotion of District Judges:

The Governor of the State is responsible for appointing district judges and making decisions about their posting and promotion.
The Governor must consult with the High Court of the respective state while making these decisions.
Eligibility Criteria for District Judges:

A person can only be appointed as a district judge if they have been:
An advocate or pleader for at least seven years, and
Recommended by the High Court for appointment.
This eligibility rule applies to individuals who are not already part of the Union or State services.
Article 233A: Validation of Appointments of, and Judgments Delivered by, Certain District Judges
This article validates certain appointments and actions taken by district judges prior to the commencement of the Constitution (Twentieth Amendment) Act, 1966. It ensures that actions before this amendment are not invalidated due to procedural issues.

Appointments, Postings, and Promotions:

Appointments, postings, promotions, or transfers of district judges made before the 1966 amendment are deemed valid, even if they were not made in strict accordance with Article 233 or Article 235.
Judgments and Actions by District Judges:

Any judgments, decrees, sentences, or other actions taken by district judges before the 1966 amendment, which might not have followed the rules laid out in Article 233 or Article 235, are also considered valid. These actions are not to be regarded as illegal or invalid just because they were not strictly in line with the provisions."
234,234. Recruitment of persons other than district judges to the judicial service Appointment of persons other than district judges to the judicial service of a State shall be made by the Governor of the State in accordance with rules made by him in that behalf after consultation with the State Public Service Commission and with the High Court exercising jurisdiction in relation to such State,Article 234: Recruiting Other Judicial Officers,"Other judicial officers (like judges of subordinate courts) are appointed by the Governor, after consulting with the High Court. These officers are selected based on recommendations from the State Public Service Commission, which ensures that only qualified individuals are chosen for judicial roles."
235,"235. Control over subordinate courts The control over district courts and courts subordinate thereto including the posting and promotion of, and the grant of leave to, persons belonging to the judicial service of a State and holding any post inferior to the post of district judge shall be vested in the High Court, but nothing in this article shall be construed as taking away from any such person any right of appeal which he may under the law regulating the conditions of his service or as authorising the High Court to deal with him otherwise than in accordance with the conditions of his service prescribed under such law",Article 235: Control Over Subordinate Courts,"High Courts have control over the subordinate courts within their jurisdiction. This means the High Court can supervise these courts, decide who works there, and even recommend promotions. This control helps maintain the integrity and efficiency of the entire judicial system.

Each of these provisions helps maintain the structure, independence, and functioning of the judiciary in India. They ensure that judges are appointed, remunerated, and held accountable, and they define the relationship between High Courts, lower courts, and the central government."
236,"236. Interpretation In this Chapter
 (a) the expression district judge includes judge of a city civil court, additional district judge, joint district judge, assistant district judge, chief judge of a small cause court, chief presidency magistrate, additional chief presidency magistrate, sessions judge, additional sessions judge and assistant sessions judge;
 (b) the expression judicial service means a service consisting exclusively of persons intended to fill the post of district judge and other civil judicial posts inferior to the post of district judge",Article 236: Interpretation in this Chapter,"District Judge:

The term ""district judge"" includes a variety of judicial roles that are either equivalent to or fall under the district judge category. These include:
Judge of a City Civil Court
Additional District Judge
Joint District Judge
Assistant District Judge
Chief Judge of a Small Cause Court
Chief Presidency Magistrate
Additional Chief Presidency Magistrate
Sessions Judge
Additional Sessions Judge
Assistant Sessions Judge
Judicial Service:

The term ""judicial service"" refers to a service composed solely of individuals who are intended to fill the roles of district judges and other civil judicial positions that are below the rank of a district judge."
237,237. Application of the provisions of this Chapter to certain class or classes of magistrates The Governor may by public notification direct that the foregoing provisions of this Chapter and any rules made thereunder shall with effect from such date as may be fixed by him in that behalf apply in relation to any class or classes of magistrates in the State as they apply in relation to persons appointed to the judicial service of the State subject to such exceptions and modifications as may be specified in the notification,Article 237: Application of Provisions to Magistrates,"This article allows the Governor to make rules about how certain judicial provisions apply to magistrates.

The Governor can use a public notification to make these rules apply to specific classes of magistrates.
These rules would be similar to the ones for judicial officers in the state, but there may be some exceptions or modifications depending on the situation."
