Article Number,Article,Title,Description
178,"178. The Speaker and Deputy Speaker of the Legislative Assembly Every Legislative Assembly of a State shall, as soon as may be, choose two members of the Assembly to be respectively Speaker and Deputy Speakers thereof and, so often as the office of Speaker or Deputy Speaker becomes vacant, the Assembly shall choose another member to be Speaker or Deputy Speaker, as the case may be",Article 178: The Speaker and Deputy Speaker of the Legislative Assembly,"Every Legislative Assembly must choose a Speaker and a Deputy Speaker. If the position becomes vacant, another member must be chosen.
"
179,"179. Vacation and resignation of, and removal from, the offices of Speaker and Deputy Speaker A member holding office as Speaker or Deputy Speaker of an Assembly
 (a) shall vacate his office if he ceases to be a member of the Assembly;
 (b) may at any time by writing under his hand addressed, if such member is the Speaker, to the Deputy Speaker, and if such member is the Deputy Speaker, to the Speaker, resign his office; and Provided that no resolution for the purpose of clause (c) shall be moved unless at least fourteen days notice has been given of the intention to move the resolution: Provided further that, whenever the Assembly is dissolved, the Speaker shall not vacate his office until immediately before the first meeting of the Assembly after the dissolution",Article 179: Vacation and Resignation of the Offices of Speaker and Deputy Speaker,"A Speaker or Deputy Speaker must leave office if they stop being a member of the Assembly or if they resign in writing.
The Speaker can be removed by a resolution passed by the Assembly after giving 14 days' notice.
"
180,"180. Power of the Deputy Speaker or other person to perform the duties of the office of, or to act as, Speaker
 (1) While the office of Speaker is vacant, the duties of the office shall be performed by the Deputy Speaker or, if the office of Deputy Speaker is also vacant, by such member of the Assembly as the Governor may appoint for the purpose
 (2) During the absence of the Speaker from any sitting of the Assembly the Deputy Speaker or, if he is also absent, such person as may be determined by the rules of procedure of the assembly, or, if no such person is present, such other person as may be determined by the Assembly, shall act as Speaker","Article 180: Power of the Deputy Speaker or Other Person to Perform the Duties of the Office of, or to Act as, Speaker","(1) While the Office of the Speaker is Vacant:
If the office of the Speaker is vacant, the Deputy Speaker will perform the duties of the Speaker.
If the office of the Deputy Speaker is also vacant, the Governor can appoint any member of the Assembly to perform the duties of the Speaker temporarily.
(2) During the Absence of the Speaker:
When the Speaker is absent from a sitting of the Assembly, the Deputy Speaker will act as the Speaker.
If the Deputy Speaker is also absent, the rules of procedure of the Assembly will determine who will act as Speaker.
If the rules do not specify, the Assembly will decide who will temporarily take on the role of Speaker."
181,"181. The Speaker or the Deputy Speaker not to preside while a resolution for his removal from office is under consideration
 (1) At any sitting of the Legislative Assembly, while any resolution for the removal of the Speaker from his office is under consideration, the Speaker, or while any resolution for the removal of the Deputy Speaker from his office is under consideration, the Deputy Speaker, shall not, though he is present, preside, and the provisions of clause ( 2 ) of Article 180 shall apply in relation to every such sitting as they apply in relation to a sitting from which the Speaker or, as the case may be, the Deputy Speaker, is absent
 (2) The Speaker shall have the right to speak in, and otherwise to take part in the proceedings of, the Legislative Assembly while any resolution for his removal from office is under consideration in the Assembly and shall, notwithstanding anything in Article 189, be entitled to vote only in the first instance on such resolution or on any other matter during such proceedings but not in the case of an quality of votes",Article 181: The Speaker or the Deputy Speaker Not to Preside While a Resolution for His Removal from Office is Under Consideration,"(1) Absence from Presiding During Removal Resolution:
When there is a resolution in the Legislative Assembly for the removal of the Speaker from office, the Speaker cannot preside over the proceedings during the consideration of that resolution.
Similarly, when there is a resolution for the removal of the Deputy Speaker, the Deputy Speaker cannot preside.
In both cases, though the Speaker or Deputy Speaker may be present, they must not preside over the sitting.
Clause (2) of Article 180 applies, which provides the procedure when the Speaker is absent from a sitting (in this case, the Deputy Speaker will preside or another member will be chosen temporarily).
(2) Right to Speak and Vote:
The Speaker has the right to speak in the Legislative Assembly during the consideration of the resolution for his removal.
The Speaker can also take part in the proceedings but:
He has the right to vote only once (in the first instance) on the resolution for his removal or any other matter during such proceedings.
However, the Speaker will not vote in the case of a tie (equality of votes)."
182,"182. The Chairman and Deputy Chairman of the Legislative Council The Legislative Council of every State having such Council shall, as soon as may be, choose two members of the Council to be respectively Chairman and Deputy Chairman thereof and, so often as the office of Chairman or Deputy Chairman becomes vacant, the Council shall choose another member to be Chairman or Deputy Chairman, as the case may be",Article 182: The Chairman and Deputy Chairman of the Legislative Council,"Like the Legislative Assembly, the Legislative Council must have a Chairman and a Deputy Chairman, chosen from its members.
"
183,"183. Vacation and resignation of, and removal from, the offices of Chairman and Deputy Chairman A member holding office as Chairman or Deputy Chairman of a Legislative Council
 (a) shall vacate his office if he ceases to be a member of the Council;
 (b) may at any time by writing under his hand addressed, if such member is the Chairman, to the Deputy Chairman, and if such member is the Deputy chairman, to the Chairman, resign his office; and
 (c) may be removed from his office by a resolution of the council passed by a majority of all the then members of the Council: Provided that no resolution for the purpose of clause (c) shall be moved unless at least fourteen days notice has been given of the intention to move the resolution","Article 183: Vacation and Resignation of, and Removal from, the Offices of Chairman and Deputy Chairman","A member holding the office of Chairman or Deputy Chairman of a Legislary Council will vacate their office in the following situations:

(a) Ceasing to be a Member of the Council:
If the member holding the office of Chairman or Deputy Chairman stops being a member of the Legislative Council, they must vacate the office.
(b) Resignation:
A Chairman can resign by writing a resignation letter addressed to the Deputy Chairman.
A Deputy Chairman can resign by writing a resignation letter addressed to the Chairman.
(c) Removal from Office:
A Chairman or Deputy Chairman can be removed from office through a resolution passed by a majority of all the members of the Legislary Council.
However, a minimum of fourteen days' notice must be given before moving the resolution for their removal."
184,"184. Power of the Deputy Chairman or other person to perform the duties of the office of, or to act as, Chairman
 (1) While the office of Chairman is vacant, the duties of the office shall be performed by the Deputy Chairman or, if the office of Deputy Chairman is also vacant, by such member of the council as the Governor may appoint for the purpose
 (2) During the absence of the Chairman from any sitting of the Council the Deputy Chairman or, if he is also absent, such person as may be determined by the rules of procedure of the Council, or, if no such person is present, such other person as may be determined by the Council, shall act as Chairman","Article 184: Power of the Deputy Chairman or Other Person to Perform the Duties of the Office of, or to Act as, Chairman","(1) In Case of Vacancy in the Office of Chairman:
If the office of Chairman is vacant, the duties of the office will be performed by the Deputy Chairman.
If the office of Deputy Chairman is also vacant, the Governor may appoint a member of the Council to perform the duties of the Chairman.
(2) During the Absence of the Chairman:
When the Chairman is absent from any sitting of the Council, the Deputy Chairman will perform the duties of the Chairman.
If the Deputy Chairman is also absent, a person will be chosen as per the rules of procedure of the Council to perform the duties of Chairman.
If no such person is available, then the Council itself will determine who will act as the Chairman during the absence.
"
185,"185. The Chairman or the Deputy Chairman not to preside while a resolution for his removal from office is under consideration
 (1) At any sitting of the Legislative Council, while any resolution for the removal of the chairman from his office is under consideration, the Chairman, or while any resolution for the removal of the Deputy Chairman from his office is under consideration, the Deputy chairman, shall not, though he is present, preside, and the provisions of clause ( 2 ) of Article 184 shall apply in relation to every such sitting as they apply in relation to a sitting from which the Chairman or, as the case may be, the Deputy Chairman is absent
 (2) The Chairman shall have the right to speak in, and otherwise to take part in the proceedings of, the Legislative Council while any resolution for his removal from office is under consideration in the Council and shall, notwithstanding anything in Article 189, be entitled to vote only in the first instance on such resolution or on any other matter during such proceedings but not in the case of an equality of votes",Article 185: The Chairman or the Deputy Chairman Not to Preside While a Resolution for His Removal from Office is Under Consideration,"(1) Presiding in the Case of Removal Resolution:
When a resolution for the removal of the Chairman from his office is being discussed, the Chairman cannot preside over the session, even if he is present.
Similarly, when a resolution for the removal of the Deputy Chairman is under consideration, the Deputy Chairman cannot preside.
In such cases, the provisions of Article 184(2) will apply, which means the duties of the Chairman will be taken over by the Deputy Chairman or another designated person, as per the rules of procedure.
(2) Right to Speak and Vote:
The Chairman has the right to speak and participate in the discussions when a removal resolution for his office is being considered.
The Chairman can vote on the resolution initially, but only during the first round of voting.
However, the Chairman is not entitled to vote in the case of a tie (equality of votes) on such a resolution or any other matter during the proceedings."
186,"186. Salaries and allowances of the Speaker and Deputy Speaker and the Chairman and Deputy Chairman There shall be paid to the Speaker and the Deputy Speaker of the Legislative Assembly, and to the Chairman and the Deputy Chairman of the Legislative Council, such salaries and allowances as may be respectively fixed by the Legislature of the State by law and, until provision in that behalf is so made, such salaries and allowances as are specified in the Second Schedule","Article 186: Salaries and Allowances of the Speaker and Deputy Speaker, and the Chairman and Deputy Chairman","The salaries and allowances of the Speaker, Deputy Speaker, Chairman, and Deputy Chairman are fixed by the State Legislature, or if not, they are specified in the Second Schedule of the Constitution.
"
187,"187. Secretariat of State Legislature
 (1) The House or each House of the Legislature of a State shall have a separate secretarial staff: Provided that nothing in this clause shall, in the case of the Legislature of a State having a Legislative Council, be construed as preventing the creation of posts common to both Houses of such Legislature
 (2) The Legislature of a State may by law regulate the recruitment, and the conditions of service of persons appointed, to the secretarial staff of the House or Houses of the Legislature of the State
 (3) Until provision is made by the Legislature of the State under clause ( 2 ), the Governor may, after consultation with the Speaker of the Legislative Assembly or the Chairman of the Legislative Council, as the case may be, make rules regulating the recruitment, and the conditions of service of persons appointed, to the secretarial staff of the Assembly or the Council, and any rules so made shall have effect subject to the provisions of any law made under the said clause",Article 187: Secretariat of State Legislature,"(1) Separate Secretarial Staff for Each House:
Each House of the State Legislature must have its own separate secretarial staff to handle its administrative tasks.
However, if the State Legislature has a Legislary Council, it is allowed to create common posts for both Houses of the Legislature.
(2) Regulation by State Legislature:
The State Legislature has the authority to pass laws regulating:
Recruitment of people to work in the secretarial staff of the House or Houses.
Conditions of service for these staff members.
(3) Interim Rules by the Governor:
Until the State Legislature passes such laws, the Governor may, after consulting with:
The Speaker of the Legislary Assembly, or
The Chairman of the Legislary Council, as applicable,
Make temporary rules that regulate the recruitment and conditions of service for secretarial staff.
These rules made by the Governor will remain in effect until the Legislature passes its own laws."
188,"188. Oath or affirmation by members Every member of the Legislative Assembly or the Legislative Council of a State shall, before taking his seat, make and subscribe before the Governor, or some person appointed in that behalf by him, an oath or affirmation according to the form set out for the purpose in the Third Schedule",Article 188: Oath or Affirmation by Members,"Before taking their seat, every member of the Legislative Assembly or Council must take an oath or affirmation in front of the Governor or an appointed official.
"
189,"189. Voting in Houses, power of Houses to act notwithstanding vacancies and quorum
 (1) Save as otherwise provided in this Constitution, all questions at any sitting of a House of the legislature of a State shall be determined by a majority of votes of the members present and voting, other than the Speaker or Chairman, or person acting as such The Speaker or Chairman, or person acting as such, shall not vote in the first instance, but shall have and exercise a casting vote in the case of an equality of votes
 (2) A House of the Legislature of a State shall have power to act notwithstanding any vacancy in the membership thereof, and any proceedings in the legislature of a State shall be valid notwithstanding that it is discovered subsequently that some person who was not entitled so to do sat or voted or otherwise took part in the proceedings
 (3) Until the Legislature of the State by law otherwise provides, the quorum to constitute a meeting of a House of the Legislature of a State shall be ten members or one tenth of the total number of members of the House, whichever is greater
 (4) If at any time during a meeting of the Legislative Assembly or the Legislative council of a State there is no quorum, it shall be the duty of the Speaker or Chairman, or person acting as such, either to adjourn the House or to suspend the meeting until there is a quorum Disqualifications of Members","Article 189: Voting in Houses, Power of Houses to Act Notwithstanding Vacancies and Quorum","(1) Determining Questions by Majority of Votes:
In a State Legislature, all decisions made in a House (either Legislative Assembly or Council) are decided by a majority of votes of the members present and voting.
Speakers or Chairmen (or persons acting as such) do not vote in the first instance but hold the casting vote in case of a tie (equality of votes) between members.
(2) Power to Act Despite Vacancies:
A House of the State Legislature can function and make decisions even if there are vacancies in its membership.
If it is later found that a person who was not entitled to be part of the proceedings (e.g., they were not a member) participated in the sitting, the actions of the House are still considered valid.
(3) Quorum for Meetings:
The quorum (minimum number of members required to hold a meeting) for a House to meet is determined by:
10 members, or
one-tenth of the total number of members of the House, whichever is greater.
This rule applies unless the State Legislature passes its own law to define the quorum differently.
(4) No Quorum during Meeting:
If, during a meeting of the Legislative Assembly or Legislative Council, there is no quorum (insufficient members to conduct business), the Speaker or Chairman (or acting person) must either:
Adjourn the meeting (postpone it to another time), or
Suspend the meeting until a quorum is present."
190,"190. Vacation of seats
 (1) No person shall be a member of both Houses of the legislature of a State and provision shall be made by the Legislature of the State by law for the vacation by a person who is chosen a member of both Houses of his seat in one House or the other
 (2) No person shall be a member of the legislatures of two or more States specified in the First Schedule and if a person is chosen a member of the Legislatures of two or more such States, then, at the expiration of such period as may be specified in rules made by the President, that persons seat in the Legislatures of all such States shall become vacant, unless he has previously resigned his seat in the Legislatures of all but one of the States
 (3) If a member of a House of the Legislature of a State
 (a) becomes subject to any of the disqualifications mentioned in clause ( 1 ) or clause ( 2 ) of Article 191; or
 (b) resigns his seat by writing under his hand addressed to the Speaker or the Chairman, as the case may be, and his resignation is accepted by th Speaker or the Chairman, as the case may be, his seat shall thereupon becomes vacant: Provided that in the case of any resignation referred to in sub clause (b), if from information received or otherwise and after making such inquiry as he thinks fit, the Speaker or the Chairman, as the case may be, is satisfied that such resignation is not voluntary or genuine, he shall not accept such resignation
 (4) If for a period of sixty days a member of a House of the Legislature of a State is without permission of the House absent from all meetings thereof, the House may declare his seat vacant: Provided that in computing the said period of sixty days no account shall be taken of any period during which the House is prorogued or is adjourned for more than four consecutive days",Article 190: Vacation of Seats,"(1) No Dual Membership in Both Houses of the Legislature:
A person cannot be a member of both Houses of the State Legislature (i.e., both Legislative Assembly and Legislative Council).
If someone is chosen to be a member of both Houses, the State Legislature must make provisions through law for the person to vacate their seat in one of the Houses.
(2) No Dual Membership in Legislatures of Different States:
A person cannot be a member of the Legislatures of two or more States listed in the First Schedule of the Constitution.
If a person is elected to the legislatures of multiple States, their seat in all such legislatures will become vacant after a specified period, unless the person resigns from all but one of the legislatures.
The specific time period within which the person must choose one seat is determined by rules made by the President.
(3) Disqualification and Resignation:
A seat in the House of the State Legislature will become vacant if a member:
Becomes disqualified as mentioned in Article 191, or
Resigns their seat in writing, addressed to the Speaker or Chairman, and their resignation is accepted by the Speaker/Chairman.
Resignation Validity: If the Speaker or Chairman has reason to believe that the resignation is not voluntary or genuine, they may not accept it after making necessary inquiries.
(4) Absence from House for 60 Days:
If a member of a State Legislature is absent for 60 days without permission from the House, the House may declare their seat vacant.
Exceptions: In calculating the 60-day absence, no account is taken of time when the House is prorogued or adjourned for more than four consecutive days."
191,"191. Disqualifications for membership
 (1) A person shall be disqualified for being chosen as, and for being, a member of the Legislative Assembly or Legislative Council of a State
 (a) if he holds any office of profit under the Government of India or the Government of any State specified in the First Schedule, other than an office declared by the Legislature of the State by law not to disqualify its holder;
 (b) if he is of unsound mind and stands so declared by a competent court;
 (c) if he is an undischarged insolvent;
 (d) if he is not a citizen of India, or has voluntarily acquired the citizenship of a foreign State, or is under any acknowledgement of allegiance or adherence to a foreign State;
 (e) if he is so disqualified by or under any law made by Parliament Explanation For the purposes of this clause, a person shall not be deemed to hold an office of profit under the Government of India or the Government of any State specified in the First Schedule by reason only that he is a Minister either for the Union or for such State
 (2) A person shall be disqualified for being a member of the Legislative Assembly or Legislative Council of a State if he is so disqualified under the Tenth Schedule",Article 191: Disqualifications for Membership,"(1) Grounds for Disqualification:
A person will be disqualified from being chosen as a member, and from being a member of the Legislative Assembly or Legislative Council of a State if they meet any of the following conditions:

(a) Holding an Office of Profit:

If the person holds any office of profit under the Government of India or the Government of any State listed in the First Schedule of the Constitution.
The exception to this rule is if the Legislature of the State has specifically declared the office not to disqualify its holder by law.
(b) Unsound Mind:

If the person is declared by a competent court to be of unsound mind.
(c) Undischarged Insolvent:

If the person is an undischarged insolvent (i.e., a person who has been declared bankrupt and is yet to fulfill their financial obligations).
(d) Citizenship Issues:

If the person is not a citizen of India, or has voluntarily acquired the citizenship of another country, or is under any acknowledgement of allegiance or adherence to a foreign state.
(e) Disqualification under Law:

If the person is disqualified by or under any law made by Parliament.
Explanation:

A person will not be considered to hold an office of profit simply because they are serving as a Minister for the Union or for the State, as this does not automatically lead to disqualification under this clause.
(2) Disqualification under the Tenth Schedule:
A person will also be disqualified from being a member of the Legislative Assembly or Legislative Council of a State if they are disqualified under the provisions of the Tenth Schedule of the Constitution, which deals with defections and related disqualifications."
192,"192. Decision on questions as to disqualifications of members
 (1) If any question arises as to whether a member of a House of the Legislature of a State has become subject to any of the disqualifications mentioned in clause ( 1 ) of Article 191, the question shall be referred for the decision of the Governor and his decision shall be final
 (2) Before giving any decision on any such question, the Governor shall obtain the opinion of the Election Commission and shall act according to such opinion",Article 192: Decision on Questions as to Disqualifications of Members,"(1) Reference to the Governor:
If there is any question regarding whether a member of the Legislature of a State has become subject to any of the disqualifications mentioned in Article 191(1), the question will be referred to the Governor for a decision.
The Governor's decision on the matter will be final and binding.
(2) Role of the Election Commission:
Before making any decision on the question of disqualification, the Governor must obtain the opinion of the Election Commission.
The Governor must then act in accordance with the opinion of the Election Commission."
193,"193. Penalty for sitting and voting before making oath or affirmation under Article 188 or when not qualified or when disqualified If a person sits or votes as a member of the Legislative Assembly or the Legislative Council of a State before he has complied with the requirements of Article 188, or when he knows that he is not qualified or that he is disqualified for membership thereof, or that he is prohibited from so doing by the provisions of any law made by Parliament or the legislature of the State, he shall be liable in respect of each day on which he so sits or votes to a penalty of five hundred rupees to be recovered as a debt due to the State Powers, Privileges and Immunities of State Legislatures and their Members",Article 193 - Penalty for Sitting or Voting Without Being Qualified,"If someone sits in the legislature and votes without following proper rules (like taking the required oath, or being disqualified), they can be fined 500 rupees for each day they do this."
