Article Number,Article,Title,Description
71,"71. Matters relating to, or connected with, the election of a president or Vice President
 (1) All doubts and disputes arising out of or in connection with the election of a president or vice President shall be inquired into and decided by the Supreme court whose decision shall be final
 (2) If the election of a person as President or Vice President is declared void by the Supreme court, acts done by him in the exercise and performance of the powers and duties of the office of President or Vice President, as the case may be, on or before the date of the decision of the Supreme Court shall not be invalidated by reason of that declaration
 (3) Subject to the provisions of this constitution, Parliament may by law regulate any matter relating to or connected with the election of a President or Vice President
 (4) The election of a person as President or Vice President shall not be called in question on the ground of the existence of any vacancy for whatever reason among the members of the electoral college electing him",Article 71 - Election Disputes of the President and Vice President,"If there’s any problem or confusion about the election of the President or Vice President, only the Supreme Court can decide, and its decision is final.
If the Supreme Court says someone’s election as President or Vice President was not valid, anything they did while in that position is still okay and won’t be canceled.
Parliament (the group that makes laws for the country) can make rules about the elections of the President and Vice President.
No one can question the election of the President or Vice President just because some voters in the election group (electoral college) were missing.
"
72,"72. Power of President to grant pardons, etc, and to suspend, remit or commute sentences in certain cases
 (1) The President shall have the power to grant pardons, reprieves, respites or remissions of punishment or to suspend, remit or commute the sentence of any person convicted of any offence
 (a) in all cases where the punishment or sentence is by a court Martial;
 (b) in all cases where the punishment or sentence is for an offence against any law relating to a matter to which the executive power of the Union extends;
 (c) in all cases where the sentence is a sentence of death
 (2) Noting in sub clause (a) of Clause ( 1 ) shall affect the power to suspend, remit or commute a sentence of death exercisable by the Governor of a State under any law for the time being in force",Article 72 - President’s Power to Forgive or Change Punishments,"The President has the power to:
Forgive someone’s punishment entirely (called a pardon).
Reduce the punishment.
Delay the punishment for a while.
Change the punishment to something less severe.
This applies especially to:
Military punishments.
Crimes under laws that the Union (central government) controls.
Death sentences.
The Governor of a state can also reduce or change a death sentence, and this does not affect the President’s power."
73,"73. Extent of executive power of the Union
 (1) Subject to the provisions of this Constitution, the executive power of the Union shall extend
 (a) to the matters with respect to which Parliament has power to make laws; and
 (b) to the exercise of such rights, authority and jurisdiction as are exercisable by the government of India by virtue of any treaty on agreement: Provided that the executive power referred to in sub clause (a) shall not, save as expressly provided in this constitution or in any law made by Parliament, extend in any State to matters with respect in which the Legislature of the State has also power to make laws
 (2) Until otherwise provided by Parliament, a State and any officer or authority of a State may, notwithstanding anything in this article, continue to exercise in matters with respect to which Parliament has power to make laws for that State such executive power or functions as the State or officer or authority thereof could exercise immediately before the commencement of this Constitution Council of Ministers",Article 73 - Union’s Executive Power,"The Union (central government) has the power to:
Handle anything Parliament can make laws about.
Take care of matters agreed upon in treaties or agreements with other countries.
But this power cannot be used in areas where state governments can also make laws unless the Constitution or Parliament allows it.
Until Parliament says otherwise, states can continue managing matters that overlap with Parliament’s law-making powers. "
74,"74. Council of Ministers to aid and advise President
 (1) There shall be a Council of Ministers with the Prime Minister at the head to aid and advise the President who shall, in the exercise of his functions, act in accordance with such advice: Provided that the President may require the council of Ministers to reconsider such advice, either generally or otherwise, and the President shall act in accordance with the advice tendered after such reconsideration
 (2) The question whether any, and if so what, advice was tendered by Ministers to the President shall not be inquired into in any court",Article 74 - The President’s Council of Ministers,"The President gets help and advice from a group of people called the Council of Ministers, led by the Prime Minister. The President must follow their advice, but they can ask the council to think again before finalizing.
Courts cannot question the advice given by the ministers to the President.
"
75,"75. Other provisions as to Ministers
 (1) The Prime Minister shall be appointed by the President and the other Ministers shall be appointed by the President on the advice of the Prime Minister
 (2) The Minister shall hold office during the pleasure of the President
 (3) The Council of Ministers shall be collectively responsible to the House of the People
 (4) Before a Minister enters upon his office, the President shall administer to him the oaths of office and of secrecy according to the forms set out for the purpose in the Third Schedule
 (5) A Minister who for any period of six consecutive months is not a member of either House of Parliament shall at the expiration of that period cease to be a Minister
 (6) The salaries and allowances of Ministers shall be such as Parliament may from time to time by law determine and, until Parliament so determines, shall be as specified in the Second Schedule The Attorney General for India",Article 75 - Rules About Ministers,"The President appoints the Prime Minister. The other ministers are picked by the President based on the Prime Minister’s advice.
Ministers stay in their jobs as long as the President allows.
The Council of Ministers works together and is responsible to the House of the People (Lok Sabha).
Before starting their job, a minister must take an oath, which is given by the President.
If a minister isn’t a member of Parliament for 6 months, they must leave their job.
Parliament decides the salaries of the ministers.
"
76,"76. Attorney General for India
 (1) The President shall appoint a person who is qualified to be appointed a Judge of the Supreme Court to be Attorney General for India
 (2) it shall be the duty of the Attorney General to give advice to the Government of India upon such legal matters, and to perform such other duties of a legal character, as may from time to time be referred or assigned to him by the President, and to discharge the functions conferred on him by or under this Constitution or any other law for the time being in force
 (3) In the performance of his duties the Attorney General shall have right of audience in all courts in the territory of India
 (4) The Attorney General shall hold office during the pleasure of the President, and shall receive such remuneration as the President may determine Conduct of Government Business",Article 76 - The Attorney General of India,"The Attorney General is the top lawyer for the country, chosen by the President. They must be qualified to be a Supreme Court judge.
Their job is to give legal advice to the government and handle legal matters given to them by the President.
They can speak in courts anywhere in India.
They keep their job as long as the President wants and are paid by the President."
77,"77. Conduct of business of the Government of India
 (1) All executive action of the Government of India shall be expressed to be taken in the name of the President
 (2) Orders and other instruments made and executed in the name of the President shall be authenticated in such manner as may be specified in rules to be made by the President, and the validity of an order or instrument which is so authenticated shall nor be called in question on the ground that it is not an order or instrument made or executed by the President
 (3) The President shall make rules for the more convenient transaction of the business of the Government of India, and for the allocation among Ministers of the said business",Article 77 - How Government Actions Are Done,"Every action or decision of the government is officially done in the name of the President.
Rules will decide how orders or actions in the President’s name are signed, and no one can question whether an order was really from the President.
The President makes rules for how government business is organized and divided among ministers."
78,"78. Duties of Prime Minister as respects the furnishing of information to the President, etc It shall be the duty of the Prime Minister
 (a) to communicate to the President all decisions of the council of Ministers relating to the administration of the affairs of the union and proposals for legislation;
 (b) to furnish such information relating to the administration of the affairs of the Union and proposals for legislation as the President may call for; and
 (c) if the President so requires, to submit for the consideration of the Council of Ministers any matter on which a decision has been taken by a Minister but which has not been considered by the Council CHAPTER II PARLIAMENT General",Article 78 - Duties of the Prime Minister to the President,"The Prime Minister must:

Tell the President about decisions made by the Council of Ministers regarding how the country is run.
Share any information the President asks for about the country’s administration.
Bring matters to the Council of Ministers if the President asks, even if a single minister decided on it earlier.
"
79,79. Constitution of Parliament There shall be a Parliament for the Union which shall consist of the President and two Houses to be known respectively as the council of States and the House of the People,Article 79 - The Constitution of Parliament,"India’s Parliament consists of:
The President of India.
Two Houses:
Council of States (Rajya Sabha).
House of the People (Lok Sabha).
"
80,"80. Composition of the Council of States
 (1) The Council of States shall consist of
 (a) twelve members to be nominated by the President in accordance with the provisions of clause ( 3 ); and
 (b) not more than two hundred and thirty eight representatives of the States and of the Union territories
 (2) The allocation of seats in the Council of States to be filled by representatives of the States and of the Union territories shall be in accordance with the provisions in that behalf contained in the fourth Schedule
 (3) The members to be nominated by the President under sub clause (a) of clause ( 1 ) shall consist of persons having special knowledge or practical experience in respect of such matters as the following, namely: Literature, science, art and social service
 (4) The representatives of each State in the council of States shall be elected by the elected members of the Legislative Assembly of the State in accordance with the system of proportional representation by means of the single transferable vote
 (5) The representatives of the Union Territories in the council of States shall be chosen in such manner as Parliament may by law prescribe",Article 80 - Composition of the Council of States (Rajya Sabha),"The Rajya Sabha has two types of members:

Nominated Members:
The President selects 12 members who are experts in fields like literature, science, art, or social service.
Elected Members:
Not more than 238 members are chosen to represent States and Union Territories.
Seats for States and Union Territories:

The number of seats for each State and Union Territory is listed in the Fourth Schedule of the Constitution.
How Members Are Chosen:

For States:
Members are elected by the State’s Legislative Assembly through proportional representation using the single transferable vote system.
For Union Territories:
Parliament decides the method of selection."
81,"81. Composition of the House of the People
 (1) Subject to the provisions of Article 331 the House of the People shall consist of
 (a) not more than five hundred and thirty members chosen by direct election from territorial constituencies in the States, and
 (b) not more than twenty members to represent the Union territories, chosen in such manner as parliament may by law provide
 (2) For the purposes of sub clause (a) of clause ( 1 ) (a) there shall be allotted to each State a number of seats in the House of the People in such manner that the ratio between that number and the population of the State is, so far as practicable, the same for all States; and
 (b) each State shall be divided into territorial constituencies in such manner that the ratio between the population of each constituency and th number of seats allotted to it is, so far as practicable, the same throughout the State: Provided that the provisions of sub clause (a) of this clause shall not be applicable for the purpose of allotment of seats in the House of the People to any State so long as the population of that State does not exceed six millions
 (3) In this article, the expression population means the population as ascertained at the last preceding census of which the relevant figures have been published: Provided that the reference in this clause to the last preceding census of which the relevant figures have been published shall, until the relevant figures for the first census taken after the year 2000 have been published, be construed as a reference to the 1971 census",Article 81 - Composition of the House of the People (Lok Sabha),"The Lok Sabha has:

Directly Elected Members:
Not more than 530 members are elected directly from the States.
Union Territory Representatives:
Not more than 20 members represent the Union Territories, chosen in a way decided by Parliament.
Allotment of Seats and Constituencies:

Each State gets a number of seats based on its population, ensuring fairness across all States.
States are divided into areas called territorial constituencies, and each constituency’s population is roughly equal.
Exceptions for Small States:

States with a population under 6 million don’t follow these rules strictly.
Population for Allotment:

Population data comes from the 1971 census, until new census figures are published after the year 2000."
82,"82. Readjustment after each census Upon the completion of each census, the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies shall be readjusted by such authority and in such manner as Parliament may by law determine: Provided that such readjustment shall not affect representation in the House of the People until the dissolution of the then existing House: Provided further that such readjustment shall take effect from such date as President may, by order, specify and until such readjustment takes effect, any election to the House may be held on the basis of the territorial constituencies existing before such readjustment: Provided also that until the relevant figures for the first census taken after the year 2000 have been published, it shall not be necessary to readjust the allocation of seats in the House of the People to the States and the division of each State into territorial constituencies under this article",Article 82 - Readjustment After Each Census,"After every census, Parliament decides how to:

Reassign the number of seats for each State in the Lok Sabha.
Redraw constituency boundaries within each State.
Timing:

Any changes will only apply after the current Lok Sabha’s term ends.
These adjustments come into effect on a date chosen by the President.
Special Provision for Post-2000 Census:

Until data from a census after 2000 is published, no changes are required in seat allocation or constituency boundaries."
83,"83. Duration of Houses of Parliament
 (1) The council of States shall not be subject to dissolution, but as nearly as possible one third of the members thereof shall retire as soon as may be on the expiration of every second year in accordance with the provisions made in that behalf by Parliament by law
 (2) The House of the People, unless sooner dissolved, shall continue for five years from the date appointed for its first meeting and no longer and the expiration of the said period of five years shall operate as a dissolution of the House: Provided that the said period may, while a Proclamation of Emergency is in operation, be extended by Parliament by law for a period not exceeding one year as a time and not extending in any case beyond a period of six months after s the Proclamation has ceased to operate",Article 83 - Duration of the Houses of Parliament,"Rajya Sabha (Council of States):

It is a permanent body and never dissolves.
However, one-third of its members retire every two years, and new members are elected or nominated to replace them.
Lok Sabha (House of the People):

Its term is 5 years, starting from its first meeting, unless dissolved earlier.
During a national emergency, its term can be extended by Parliament:
By 1 year at a time.
The extension cannot go beyond 6 months after the emergency ends."
84,"84. Qualification for membership of Parliament A person shall not be qualified to be chosen to fill a seat in Parliament unless he
 (a) is a citizen of India, and makes and subscribes before some person authorised in that behalf by the Election Commission an oath or affirmation according to the form set out for the purpose in the Third Schedule;
 (b) is, in the case of a seat in the Council of States, not less than thirty years of age and, in the case of a seat in the House of the People, not less than twenty five years of age; and
 (c) possesses such other qualifications as may be prescribed in that behalf by or under any law made by Parliament",Article 84 - Qualification for Membership of Parliament,"To become a member of Parliament, a person must:

Be a Citizen of India:
The person must take an oath or affirmation as prescribed in the Third Schedule of the Constitution.
Meet the Age Requirement:
For Rajya Sabha: At least 30 years old.
For Lok Sabha: At least 25 years old.
Other Qualifications:
Parliament may pass laws specifying additional qualifications for eligibility."
85,"85. Sessions of Parliament, prorogation and dissolution
 (1) The President shall form time to time summon each House of Parliament to meet at such time and place as he thinks fit, but six months shall not intervene between its last sitting in one session and the date appointed for its first sitting in the next session
 (2) The President may from time to time
 (a) prorogue the Houses or either House;
 (b) dissolve the House of the People","Article 85 - Sessions of Parliament, Prorogation, and Dissolution","Summoning of Sessions:
The President decides when and where Parliament will meet, but there cannot be more than 6 months between the last sitting of one session and the first sitting of the next.
Prorogation and Dissolution:
The President can:
Prorogue (end a session) either or both Houses.
Dissolve the Lok Sabha (House of the People), which ends its term.
"
86,"86. Right of President to address and send messages to Houses
 (1) The President may address either House of Parliament or both Houses assembled together, and for that purpose require the attendance of members
 (2) The President may send messages to either House of Parliament, whether with respect to a Bill then pending in Parliament or otherwise, and a House to which any message is so sent shall with all convenient dispatch consider any matter required by the message to be taken into consideration",Article 86 - Right of the President to Address and Send Messages,"Addressing Parliament:
The President can address either House or both Houses together and can require members to attend for this purpose.
Sending Messages:
The President can send messages to either House about a Bill or other matters.
The House must consider the message quickly.
"
87,"87. Special address by the President
 (1) At the commencement of the first session after each general election to the House of the People and at the commencement of the first session of each year the President shall address both Houses of Parliament assembled together and inform Parliament of the causes of its summons
 (2) Provision shall be made by rules regulating the procedure of either House for the allotment of time for discussion of the matters referred to in such address",Article 87 - Special Address by the President,"Occasions for Special Address:
At the start of the first session after a general election to the Lok Sabha.
At the start of the first session each year.
Contents:
The President explains why Parliament has been summoned.
Discussion of the Address:
Rules are made to allow time for discussion of the matters mentioned in the address.
"
88,"88. Rights of Ministers and Attorney General in respects Houses Every Minister and the Attorney General of India shall have the right to speak in, and otherwise to take part in the proceedings of either House, any joint sitting of the Houses, and any committee of Parliament of which he may be named a member, but shall not by virtue of this article be entitled to vote Officers of Parliament",Article 88 - Rights of Ministers and Attorney General in Parliament,"Who Can Participate:
Ministers and the Attorney General of India can:
Speak in any House of Parliament, joint sittings, or committees where they are members.
They cannot vote unless they are elected members of the respective House.
"
89,"89. The Chairman and Deputy Chairman of the council of States
 (1) The Vice President of India shall be ex officio Chairman of the Council of States
 (2) The council of States shall, as soon as may be, choose a member of the council to be Deputy an thereof and, so often as the office of Deputy Chairman becomes vacant, the council shall choose another member to be Deputy chairman thereof",Article 89 - Chairman and Deputy Chairman of the Rajya Sabha (Council of States),"Chairman:
The Vice President of India is the ex-officio Chairman of the Rajya Sabha.
Deputy Chairman:
The Rajya Sabha elects one of its members as the Deputy Chairman.
If the Deputy Chairman’s post becomes vacant, a new one is elected.
"
90,"90. Vacation and resignation of, and removal from, the office of Deputy Chairman A member holding office as Deputy chairman of the Council of States
 (a) shall vacate his office if he cease to be a member of the Council;
 (b) may at any time, by writing under his hand addressed to the Chairman, resign his office; and
 (c) may be removed from his office by a resolution of the Council passed by a majority of all the then members of the Council: Provided that no resolution for the purpose of clause (c) shall be moved unless at least fourteen days notice has been given of the intention to move the resolution",Article 90 - Removal of the Deputy Chairman of Rajya Sabha,"The Deputy Chairman must leave office if:

No Longer a Member: They stop being a Rajya Sabha member.
Resignation: They resign by writing to the Chairman.
Removal: They are removed by a majority vote in the Rajya Sabha.
Notice for Removal:

At least 14 days’ notice is needed to move a resolution for removal."
91,"91. Power of the Deputy chairman or other person to perform the duties of the office of, or to act as, Chairman
 (1) While the office of Chairman is vacant, or during any period when the vice President is acting as, or discharging the functions of, President, the duties of the office shall be performed by the Deputy chairman, or, if the office of Deputy chairman is also vacant, by such member of the council of States as the President may appoint for the purpose
 (2) During the absence of the chairman from any sitting of the council of States the Deputy chairman, or, if he is also absent, such person as may be determined by the rules of procedure of the council, or, if no such person is present, such other person as may be determined by the council, shall act as Chairman",Article 91 - Acting as Chairman in Special Circumstances,"Vacancy or Absence of Chairman:

If the Vice President (Chairman) is unavailable or the position is vacant, the Deputy Chairman acts as Chairman.
If both positions are vacant, the President appoints a member to act as Chairman temporarily.
Rules for Absence in Sittings:

If both the Chairman and Deputy Chairman are absent, another person selected by the Rajya Sabha rules or its members will preside."
92,"92. The Chairman or the Deputy chairman not to preside while a resolution for his removal from office is under consideration
 (1) At any sitting of the Council of States, while any resolution for the removal of the Vice President from his office is under consideration, the Chairman, or while any resolution for the removal of the Deputy Chairman from his office is under consideration, the Deputy Chairman, shall not, though he is present, preside, and the provisions of clause ( 2 ) of Article 91 shall apply in relation to every such sitting as they apply in relation to a sitting from which the chairman, or, as the case may be, the Deputy Chairman, is absent
 (2) The Chairman shall have the right to speak in, and otherwise to take part in proceedings of, the Council of States while any resolution for the removal of the Vice President from his office is under consideration in the Council, but, notwithstanding anything in Article 100, shall not be entitled to vote at all on such resolution or on any other matter during such proceedings",Article 92 - Restrictions During Removal Proceedings,"Chairman and Deputy Chairman Cannot Preside:

During discussions about their removal, they cannot preside over the sitting.
The rules from Article 91(2) apply for selecting someone else to preside.
Participation Without Voting:

The Chairman or Deputy Chairman can participate in discussions about their removal but cannot vote on the resolution or any other matter during such proceedings.
"
